"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
4,1,0,5,1,2,5,168,0.142894063506713,0.82223059552597,1.03065888106311
4,1,0,5,1,2,5,168,-0.22064826258949,1.00301380817838,1.21235464514294
4,1,0,5,1,2,5,168,0.0885867331837971,0.783364464271738,0.954574646399869
4,1,0,5,1,2,5,168,0.0234566282352824,0.81496762687058,0.983828328277274
4,1,0,5,1,2,5,168,-0.0809420301805079,0.797615605788048,0.959836163323006
4,1,0,5,1,2,5,168,0.0165542309819716,0.850795895371201,1.04160528167183
4,1,0,5,1,2,5,168,0.185646956451627,0.7792773003846,0.940374757440953
4,1,0,5,1,2,5,168,0.0408378164400299,0.792850448065324,0.972729017382334
4,1,0,5,1,2,5,168,0.191555763128501,1.26562436251716,1.48176483362348
4,1,0,5,1,2,5,168,0.0267426720352002,0.818396579062762,1.01041831816372
4,1,0,5,1,2,5,168,0.0565504832421368,0.805553692629449,0.969741740520641
4,1,0,5,1,2,5,168,0.122474011607117,0.830698103106583,0.980577980993196
4,1,0,5,1,2,5,168,0.2049390220575,0.873166974002266,1.10499551030003
4,1,0,5,1,2,5,168,0.208059458994105,0.85353242637927,1.08547848687403
4,1,0,5,1,2,5,168,0.100064429476632,0.938665177720192,1.17346291559863
4,1,0,5,1,2,5,168,0.0965911642000821,0.791057961373292,0.953188067974292
4,1,0,5,1,2,5,168,-0.107238752214221,0.82213120867827,1.00349433989863
4,1,0,5,1,2,5,168,0.0379319813962951,0.873173831605621,1.08189705241734
4,1,0,5,1,2,5,168,-0.198207355697941,0.954409936644235,1.15221217502439
4,1,0,5,1,2,5,168,0.221842884820599,1.19944121414803,1.39319060859713
4,1,0,5,1,2,5,168,-0.104288163712577,0.823369538989528,0.997346547858226
4,1,0,5,1,2,5,168,-0.25553876408566,0.884551755275298,1.06370524167232
4,1,0,5,1,2,5,168,0.128059009710576,0.942574203054344,1.1728484071487
4,1,0,5,1,2,5,168,0.171447636357338,1.09973568811517,1.28452297686907
4,1,0,5,1,2,5,168,0.108797818819999,0.929168918693715,1.15188492692598
4,1,0,5,1,2,5,168,-0.246632075734619,0.84633664918747,1.02198019645189
4,1,0,5,1,2,5,168,0.11180711946604,0.799241660023189,0.967439803612267
4,1,0,5,1,2,5,168,0.193823072009871,0.806729103116036,0.994997342452686
4,1,0,5,1,2,5,168,0.153696551964193,0.897800282070496,1.13253375198677
4,1,0,5,1,2,5,168,-0.187659163912362,0.870599404925824,1.053744695611
4,1,0,5,1,2,5,168,0.167759199047329,1.0248136020153,1.20016228446758
4,1,0,5,1,2,5,168,-0.0350180691446264,0.848223938150334,1.03806869148692
4,1,0,5,1,2,5,168,-0.0959513849894797,1.04532157748474,1.24239823735082
4,1,0,5,1,2,5,168,0.217296680098448,0.783456933720708,0.999721132614771
4,1,0,5,1,2,5,168,-0.172413932428114,0.873109818491049,1.04031090305603
4,1,0,5,1,2,5,168,-0.237820278863791,0.863606471512068,1.02768026998666
4,1,0,5,1,2,5,168,-0.0980665219650546,0.874081849566146,1.06949879255996
4,1,0,5,1,2,5,168,0.242498989965169,0.866750743080794,1.0209637324193
4,1,0,5,1,2,5,168,0.14748159938621,0.829575765978568,1.01389759518716
4,1,0,5,1,2,5,168,0.0895437098794658,0.851166980269912,1.00235130865892
4,1,0,5,1,2,5,168,-0.0980717504487684,0.929927220376882,1.12536241570318
4,1,0,5,1,2,5,168,-0.04908819637747,0.999676040814985,1.2637960167816
4,1,0,5,1,2,5,168,0.205131548619703,0.850985877020605,1.00075916179742
4,1,0,5,1,2,5,168,-0.176985714625987,0.918568417371103,1.07307215854045
4,1,0,5,1,2,5,168,-0.0368983991149502,0.831313808175194,0.99444111551878
4,1,0,5,1,2,5,168,-0.152889088118754,0.91102467559499,1.11944147896492
4,1,0,5,1,2,5,168,-0.245825164572069,0.892670062525612,1.07290997671781
4,1,0,5,1,2,5,168,-0.0261402724992386,0.967490209107252,1.21442554255949
4,1,0,5,1,2,5,168,0.128403884995489,0.846920767926547,1.0397372442243
4,1,0,5,1,2,5,168,-0.191526085638935,1.06198619831569,1.25496985720583
4,1,0,5,1,2,5,168,-0.00237947496980508,0.825574255432801,0.993671227995505
4,1,0,5,1,2,5,168,0.227322891902303,1.00330425084294,1.16994527474977
4,1,0,5,1,2,5,168,0.107166013585211,0.78252100372005,0.957131696143613
4,1,0,5,1,2,5,168,0.178657502550275,0.85004761684525,1.00653241637728
4,1,0,5,1,2,5,168,-0.0375525768456268,0.808376799913531,0.986605643312504
4,1,0,5,1,2,5,168,-0.139388196290521,1.18268201275475,1.40836611342401
