"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,-0.165657361337267,1.03612542173832,1.19426710675788
6,1,0,7,1,2,7,120,-0.0426026934623346,0.920197968715119,1.12867069134741
6,1,0,7,1,2,7,120,0.0950428857717674,0.87184043253914,1.00092564682493
6,1,0,7,1,2,7,120,0.115042716567389,0.92220380912679,1.05923940601062
6,1,0,7,1,2,7,120,0.0200266332369945,0.876740760586462,1.00059849425273
6,1,0,7,1,2,7,120,-0.235701607877421,1.0231036294248,1.1599783720232
6,1,0,7,1,2,7,120,-0.11072589827023,0.907030201063922,1.04010002896708
6,1,0,7,1,2,7,120,-0.191748964515329,0.900387967860939,1.03471624124964
6,1,0,7,1,2,7,120,-0.184105275051333,0.943128354165829,1.0690792497662
6,1,0,7,1,2,7,120,-0.0438302775128325,0.868404872019905,0.99862988757783
6,1,0,7,1,2,7,120,0.168855362051427,0.965362667266252,1.21189591395214
6,1,0,7,1,2,7,120,0.0447540412158246,0.914799963950263,1.05576072632426
6,1,0,7,1,2,7,120,0.150850632677713,0.89989225634361,1.02959815263708
6,1,0,7,1,2,7,120,-0.00743749758137144,0.903678076184062,1.08355700082819
6,1,0,7,1,2,7,120,0.0213542624261359,0.864654352337044,1.0030875448293
6,1,0,7,1,2,7,120,0.133349637617297,0.871805308658841,1.01086483514763
6,1,0,7,1,2,7,120,-0.0587678584011848,0.905388569716887,1.07561481661697
6,1,0,7,1,2,7,120,-0.142884129909995,0.971474129176766,1.19162030142828
6,1,0,7,1,2,7,120,-0.0382561956861604,0.883700398722621,1.00748755759958
6,1,0,7,1,2,7,120,-0.244728240207729,0.935230526611271,1.09338988331209
6,1,0,7,1,2,7,120,-0.0338443636443637,0.99728867126945,1.24953585061497
6,1,0,7,1,2,7,120,-0.165568085865776,0.970248474367154,1.10593424610645
6,1,0,7,1,2,7,120,-0.0515961715043269,0.886466886415844,1.04526219629527
6,1,0,7,1,2,7,120,0.110423007025188,0.864680280870628,1.01688509654947
6,1,0,7,1,2,7,120,-0.121169348539586,0.994225217749894,1.13976822827934
6,1,0,7,1,2,7,120,-0.09029082237979,0.935547909970641,1.11581831886573
6,1,0,7,1,2,7,120,-0.150225240656483,0.935625931200354,1.0623446612345
6,1,0,7,1,2,7,120,-0.0605599522269424,1.00666267028454,1.16135556705852
6,1,0,7,1,2,7,120,-0.0245493277546875,0.875801468973426,0.989960356642436
6,1,0,7,1,2,7,120,-0.157584369337021,1.07673498276753,1.37369858005378
6,1,0,7,1,2,7,120,0.0410774020382312,0.887832827340865,1.00005817292698
6,1,0,7,1,2,7,120,-0.0987997593159489,1.03277282411688,1.20888253698279
6,1,0,7,1,2,7,120,0.055583067035449,1.01434569232837,1.18334400750712
6,1,0,7,1,2,7,120,0.0239331058907725,0.913154129311739,1.10828402810292
6,1,0,7,1,2,7,120,-0.114812209511116,0.9179068567383,1.12346486007631
6,1,0,7,1,2,7,120,0.0147757591573398,0.8908631103916,1.01678714107087
6,1,0,7,1,2,7,120,0.173955592727703,1.01340885938618,1.2771071656528
6,1,0,7,1,2,7,120,0.150762755876252,1.02446063269519,1.17136993072679
6,1,0,7,1,2,7,120,-0.0507962217123778,0.904852104278136,1.06089976866882
