"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,-0.180764678734958,0.829664154514844,0.971407491463071
6,1,0,7,1,2,7,120,-0.109934887962132,0.786159476538973,0.946530578315499
6,1,0,7,1,2,7,120,-0.0895487340011147,0.756624207476216,0.89963985335033
6,1,0,7,1,2,7,120,0.0519833123708438,0.740780434821653,0.886636376412169
6,1,0,7,1,2,7,120,-0.0294354398273856,0.730420232470756,0.902214954271964
6,1,0,7,1,2,7,120,0.0147927778107214,0.82007124588432,1.00533101213277
6,1,0,7,1,2,7,120,0.035459953901612,0.746215943799467,0.883214060961681
6,1,0,7,1,2,7,120,0.0837776313102678,0.77110824367355,0.947342441695426
6,1,0,7,1,2,7,120,-0.188405108447546,0.800038136532711,0.966724753648873
6,1,0,7,1,2,7,120,0.0285370834748538,0.806251377170469,0.986057791085322
6,1,0,7,1,2,7,120,-0.0230272262602839,0.724296520652634,0.878720099547297
6,1,0,7,1,2,7,120,-0.0563672167782968,0.883091804365485,1.05227023411425
6,1,0,7,1,2,7,120,-0.183466788860245,0.876585997394141,1.04106093491255
6,1,0,7,1,2,7,120,0.173720405039899,0.885561646750018,1.037367601206
6,1,0,7,1,2,7,120,0.0349563157248333,0.793418950985658,0.963372726369147
6,1,0,7,1,2,7,120,0.0363760743246957,0.810602729299853,1.01004812501878
6,1,0,7,1,2,7,120,0.0278097968984013,0.833352585168368,0.982971978603391
6,1,0,7,1,2,7,120,0.0590402946112688,0.80990187980459,1.02859364576908
6,1,0,7,1,2,7,120,-0.108120862081149,0.740689957018858,0.891944297046581
6,1,0,7,1,2,7,120,0.112862801330862,0.816625034203554,0.966578516302039
6,1,0,7,1,2,7,120,-0.0297470409350903,0.759252397462797,0.936983135727341
6,1,0,7,1,2,7,120,0.109470862964866,0.755673612865534,0.903958124004545
6,1,0,7,1,2,7,120,-0.0157047666996302,0.789511331700506,0.961645967435281
6,1,0,7,1,2,7,120,-0.12310150665653,0.754381055607721,0.89220925954866
6,1,0,7,1,2,7,120,-0.0808520891370595,0.752031795073072,0.914351354100043
6,1,0,7,1,2,7,120,0.0354684393066745,0.735660719877615,0.886658053096925
6,1,0,7,1,2,7,120,0.127674007584357,0.816211856409278,1.04623978800552
6,1,0,7,1,2,7,120,0.16424233163101,0.724299519411485,0.858523530411032
6,1,0,7,1,2,7,120,-0.0480095280449029,0.739221658909366,0.901031537186297
6,1,0,7,1,2,7,120,0.0219992124261902,0.741515803631527,0.886331607098344
6,1,0,7,1,2,7,120,-0.223722153209063,0.768335502958526,0.955090210299639
6,1,0,7,1,2,7,120,-0.138186835090987,0.75722549745526,0.898550515432581
6,1,0,7,1,2,7,120,0.111904873639932,0.726160248894652,0.863726533529477
6,1,0,7,1,2,7,120,-0.257642438317359,0.8016429096731,0.960103912786424
6,1,0,7,1,2,7,120,-0.179978591972751,0.874391040617406,1.08399250535374
6,1,0,7,1,2,7,120,-0.187216159939924,0.924541886854548,1.08087653368359
6,1,0,7,1,2,7,120,0.0798169037425217,0.722880577423054,0.867189766029478
6,1,0,7,1,2,7,120,0.0922661368004987,0.777281248056212,0.933722805689318
6,1,0,7,1,2,7,120,0.027677927278577,0.72908029493179,0.887470340412508
6,1,0,7,1,2,7,120,-0.0155396366428748,0.746927465068446,0.884337081382943
6,1,0,7,1,2,7,120,-0.0514162290354421,0.762774655825487,0.925318083427958
6,1,0,7,1,2,7,120,0.110975682689757,0.724969205582564,0.873943795842502
6,1,0,7,1,2,7,120,-0.0250478664720019,0.931883710450391,1.10011245921753
6,1,0,7,1,2,7,120,0.066640081390862,0.726937509427839,0.8746743395056
6,1,0,7,1,2,7,120,-0.0600694564387282,0.824822933630945,0.987768188330152
6,1,0,7,1,2,7,120,0.000190010811089966,0.731826189234246,0.874770691835095
6,1,0,7,1,2,7,120,-0.0554160552877879,0.813856351817979,0.980565779952638
6,1,0,7,1,2,7,120,0.0944284872582091,0.715920356351429,0.867833951851599
6,1,0,7,1,2,7,120,0.140405565835476,0.71980914868117,0.857754459168874
6,1,0,7,1,2,7,120,-0.0360375456352712,0.807515832242542,0.968864020752765
