"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
4,1,0,5,1,2,5,168,0.00375391096486228,0.786051352676645,0.938354944722568
4,1,0,5,1,2,5,168,0.0266901525968316,0.823424562621661,0.951370195883682
4,1,0,5,1,2,5,168,0.204737670203322,0.723041374497725,0.949164439129499
4,1,0,5,1,2,8,168,-0.0166698880819374,0.836554107022589,0.990793983381791
4,1,0,5,1,2,8,168,-0.0424560331687195,0.823908897184784,1.00179454393196
4,1,0,5,1,2,8,168,0.0504147210137132,0.790469808553433,0.943161438496809
4,1,0,5,1,2,11,168,0.0787434114704856,0.754397947329529,0.990733627357977
4,1,0,5,1,2,11,168,0.0948260452721952,0.745834604497048,0.953503105512807
4,1,0,5,1,2,11,168,0.0436223752794713,0.793871421003309,0.966830064465322
4,1,0,5,1,2,14,168,0.0536646035238274,0.798444139770984,0.970497482602021
4,1,0,5,1,2,14,168,0.0252592811292298,0.920342773600596,1.11279264661824
4,1,0,5,1,2,14,168,0.00867190066815542,0.921789692610356,1.16965290417941
4,1,0,5,1,2,17,168,0.129043051262239,0.804676674434189,1.02382813871297
4,1,0,5,1,2,17,168,0.00594133805249026,0.771898436705158,0.969358048830001
4,1,0,5,1,2,17,168,-0.0386250092309013,0.837839587404942,0.978948054400702
4,1,0,5,1,2,20,168,0.0800793332270763,0.786422291467653,1.00528850436532
4,1,0,5,1,2,20,168,0.0497922041333287,0.753688122880707,0.96267482452575
4,1,0,5,1,2,20,168,0.143753543695034,0.746319130975707,0.927745186181069
4,1,0,5,1,2,23,168,0.114374198153635,0.769842112072591,0.93159685919185
4,1,0,5,1,2,23,168,0.216834092517126,0.745563008342941,0.934581022352832
4,1,0,5,1,2,23,168,0.086706308580528,0.752138047301097,0.950417433812101
4,1,0,5,1,2,26,168,0.183431605674043,0.738378556788628,0.930068379420631
4,1,0,5,1,2,26,168,0.053122702751972,0.754534946937986,0.945254365365271
4,1,0,5,1,2,26,168,0.115668800119246,0.767683248071728,0.909912996040292
4,1,0,5,1,2,29,168,0.0633855490102529,0.765952712571076,0.975548168075801
4,1,0,5,1,2,29,168,0.151207627809686,0.733363279135355,0.957110819058299
4,1,0,5,1,2,29,168,0.108601902711691,0.826056681878755,1.02530849929515
4,1,0,5,1,2,32,168,0.115024198238191,0.805873481053785,1.05357470885723
4,1,0,5,1,2,32,168,0.0280897320203969,0.836082745781529,1.13103951307664
4,1,0,5,1,2,32,168,0.0751450914210243,0.769633864209167,0.952342497901873
4,1,0,5,1,2,35,168,0.0764200963496124,0.799132831197326,1.03519013264978
4,1,0,5,1,2,35,168,0.0952741437969615,0.761955622511709,0.949028995850848
4,1,0,5,1,2,35,168,0.00771621182487387,0.800640521847728,0.997757602264726
4,1,0,5,1,2,38,168,0.0053583167936868,0.835590629561839,1.05392981647169
4,1,0,5,1,2,38,168,0.103324374128211,0.761013152261722,1.00320135018417
4,1,0,5,1,2,38,168,0.0181962025867518,0.818567954906786,0.970409141582319
4,1,0,5,1,2,41,168,0.19380107964689,0.750385987158022,0.990879505155443
4,1,0,5,1,2,41,168,0.171607213051969,0.749100254730628,0.952266295580698
4,1,0,5,1,2,41,168,0.133525050641627,0.776476508031142,0.984246879523782
4,1,0,5,1,2,44,168,0.0997162744278914,0.737101864658148,0.95469776889362
4,1,0,5,1,2,44,168,0.145226657112349,0.775175916370729,0.934476824107754
4,1,0,5,1,2,44,168,0.164388951194837,0.7481947885675,0.907719457650727
4,1,0,5,1,2,47,168,0.149243758363183,0.747734148217469,0.943363854096734
4,1,0,5,1,2,47,168,0.123410615862443,0.793095018139393,1.00725344309404
4,1,0,5,1,2,47,168,0.137951897809467,0.77131811573062,0.944671706854639
4,1,0,5,1,2,50,168,0.0786971214293344,0.772263644775013,0.975827863909717
4,1,0,5,1,2,50,168,0.15939404176007,0.769878940280602,0.937971067827033
4,1,0,5,1,2,50,168,0.060388223523491,0.779261990756597,0.992235586843322
4,1,0,5,1,2,53,168,-0.038172700056544,0.819997823180792,1.00153046622849
4,1,0,5,1,2,53,168,0.137482086418245,0.73735475477917,0.976319412682015
4,1,0,5,1,2,53,168,0.12907427394981,0.7746991245507,0.979159331648839
4,1,0,5,1,2,56,168,0.0836731978885503,0.78236296498044,0.972674145875623
4,1,0,5,1,2,56,168,0.157816813694666,0.730472817823607,0.960469102981369
4,1,0,5,1,2,56,168,-0.0564559875236787,0.811621305550608,0.976618804285162
4,1,0,5,1,2,59,168,0.0944186343459558,0.776951553741202,0.958801617784671
4,1,0,5,1,2,59,168,0.0942157604357988,0.759976118810249,0.985011895580123
4,1,0,5,1,2,59,168,-0.0524703630494671,0.816648807105335,1.00952334570058
4,1,0,5,1,2,62,168,0.146728182670202,0.793592419198498,0.992495328549344
4,1,0,5,1,2,62,168,0.0734953283383003,0.762199754262325,0.996448124495433
4,1,0,5,1,2,62,168,0.0397208916733063,0.809886622858352,0.995396176440324
4,1,0,5,1,2,65,168,-0.0187681306889549,0.798810321311341,0.975146066065747
4,1,0,5,1,2,65,168,0.087373271296534,0.770124901940229,0.97961882240756
4,1,0,5,1,2,65,168,0.0679701932487777,0.77455099265405,1.03532733338714
4,1,0,5,1,2,68,168,0.146853738867278,0.760178981660047,0.96926438882892
4,1,0,5,1,2,68,168,0.252054170338299,0.724453169027472,0.92187161718673
4,1,0,5,1,2,68,168,-0.0323910803635867,0.815897821832317,1.02404510621842
4,1,0,5,1,2,71,168,0.103671416520693,0.768154641299477,0.954994833487289
4,1,0,5,1,2,71,168,0.207388219718806,0.763277246993498,0.954065812042432
4,1,0,5,1,2,71,168,0.183986422906868,0.779627644782153,0.971691157513266
4,1,0,5,1,2,74,168,0.0823062144894477,0.78038114464468,0.9834317321904
4,1,0,5,1,2,74,168,0.244604000207219,0.736836120438197,0.920846716004834
4,1,0,5,1,2,74,168,0.174515967132778,0.758824719387133,0.93724470779113
4,1,0,5,1,2,77,168,0.206648186442065,0.7351542157178,0.956526290827253
4,1,0,5,1,2,77,168,0.16297509350911,0.780149988445522,1.00600496010003
4,1,0,5,1,2,77,168,0.205826142675438,0.731496556062774,0.92732496514516
4,1,0,5,1,2,80,168,0.121725949518515,0.76848410946522,0.965626169301964
4,1,0,5,1,2,80,168,0.106170508893354,0.767322782985068,0.957853069448031
4,1,0,5,1,2,80,168,0.135152958196901,0.74931701322702,0.933693820958789
4,1,0,5,1,2,83,168,0.155070305748031,0.752309734122764,0.943874756203089
4,1,0,5,1,2,83,168,0.0484126480183859,0.782017667415815,0.96643467544136
4,1,0,5,1,2,83,168,-0.0184468125371026,0.813110694095515,0.997528833699801
4,1,0,5,1,2,86,168,0.0341834119997105,0.807670005042842,1.01883863943675
4,1,0,5,1,2,86,168,0.1432693218123,0.749681509156906,0.943885600294965
4,1,0,5,1,2,86,168,0.153364775055328,0.75726408565928,0.951410307244411
4,1,0,5,1,2,89,168,0.2226895129779,0.728797352859937,0.912921300476212
4,1,0,5,1,2,89,168,0.129834372519826,0.771936169308417,0.949577425543926
4,1,0,5,1,2,89,168,0.191700674676339,0.738549304060117,0.939504368396428
4,1,0,5,1,2,92,168,0.140749367032339,0.772557434641713,0.970880015020541
4,1,0,5,1,2,92,168,0.0810455054406035,0.775072007887865,0.947967284757338
4,1,0,5,1,2,92,168,0.133854990568863,0.743731461372787,0.959486744899932
4,1,0,5,1,2,95,168,0.137208447221001,0.763478977568274,0.976822771389958
4,1,0,5,1,2,95,168,0.137252960529582,0.747585051480458,0.956225853155486
4,1,0,5,1,2,95,168,0.139827580644387,0.745239428396191,0.949323826368287
4,1,0,5,1,2,98,168,0.110704651616351,0.771090467800919,0.964475580606646
4,1,0,5,1,2,98,168,0.111797474814342,0.769717650435511,0.982018633624355
4,1,0,5,1,2,98,168,0.189183737616604,0.752740322609427,0.930190980522209
4,1,0,5,1,2,101,168,0.0552767165668479,0.775716996933832,0.961754066303484
4,1,0,5,1,2,101,168,0.00772067726714365,0.780919864956904,0.986461321830668
4,1,0,5,1,2,101,168,0.155121542806258,0.756916117784613,0.973375466141118
4,1,0,5,1,2,104,168,0.0789020155708613,0.789307265828648,0.967901692279645
4,1,0,5,1,2,104,168,0.0489304902147858,0.789113017017424,0.976871248668823
4,1,0,5,1,2,104,168,0.13619852954962,0.78109569669952,0.962821054807659
4,1,0,5,1,2,107,168,0.105292114351489,0.779243983621781,0.974734194392758
4,1,0,5,1,2,107,168,0.0895463282342306,0.78492257823076,0.97411738603264
4,1,0,5,1,2,107,168,0.237815167134837,0.736871215992916,0.903814119782402
4,1,0,5,1,2,110,168,0.0108876035611798,0.77434208020449,0.998020500873342
4,1,0,5,1,2,110,168,0.170151630469607,0.765346600636706,0.931847672385192
4,1,0,5,1,2,110,168,0.0750626636843998,0.782684466857235,0.967370829649528
4,1,0,5,1,2,113,168,0.199447970874487,0.738891528805926,0.961927762699076
4,1,0,5,1,2,113,168,0.193930302892806,0.731585100906047,0.942481311838279
4,1,0,5,1,2,113,168,0.0924428052404291,0.769450619721777,0.97140179613243
