"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
4,1,0,5,1,2,5,168,-0.176212382416553,0.959265300947911,1.27891572554679
4,1,0,5,1,2,5,168,0.154922028485503,0.819238449617814,1.14659674456052
4,1,0,5,1,2,5,168,0.0812779608623999,0.866022994149241,1.16704601524015
4,1,0,5,1,2,5,168,-0.0062538693122096,0.830343301828909,1.05341674766928
4,1,0,5,1,2,5,168,-0.0351850171046665,1.01237355356308,1.25523168178433
4,1,0,5,1,2,5,168,-0.176636957349678,0.84387735438761,1.14594926087458
4,1,0,5,1,2,5,168,0.160319845941228,0.919693576925439,1.25864468330568
4,1,0,5,1,2,5,168,-0.0699118951674634,0.800915848283149,1.04962300763465
4,1,0,5,1,2,5,168,0.0292984127622905,0.802666067868648,1.08241025529875
4,1,0,5,1,2,5,168,0.17573551755784,1.05658424341243,1.41732023432134
4,1,0,5,1,2,5,168,-0.00477120862514867,0.933705409727592,1.25530630685839
4,1,0,5,1,2,5,168,-0.179085757770842,1.08556074791451,1.35497560998883
4,1,0,5,1,2,5,168,-0.0365835064276083,0.814822589071787,1.10821232681285
4,1,0,5,1,2,5,168,0.132907841510453,0.792987037826336,1.04093307972765
4,1,0,5,1,2,5,168,0.139880962651935,0.892597186889158,1.21669249148665
4,1,0,5,1,2,5,168,0.144866447156215,1.03911016674075,1.31074254620013
4,1,0,5,1,2,5,168,-0.177375571356933,0.891127166779831,1.16309588052257
4,1,0,5,1,2,5,168,0.0624202121068094,0.838217144098498,1.09067384241926
4,1,0,5,1,2,5,168,0.108641639522902,0.868340695422709,1.18500175962664
4,1,0,5,1,2,5,168,0.00102168909867294,0.991881084521684,1.32811667016922
4,1,0,5,1,2,5,168,-0.131273436730025,0.822152965617753,1.10049093509465
4,1,0,5,1,2,5,168,-0.125369357612667,0.79348885056292,1.07461877189759
4,1,0,5,1,2,5,168,0.161532485978323,0.819854713233184,1.11501318403573
4,1,0,5,1,2,5,168,0.116435951711246,0.810391234079105,1.07520350999231
4,1,0,5,1,2,5,168,-0.185343528453887,1.61284246449208,1.89106725409286
4,1,0,5,1,2,5,168,-0.126308570986028,0.832079792541705,1.06541091909003
4,1,0,5,1,2,5,168,0.0479362092408254,1.02594123720685,1.39788050432995
4,1,0,5,1,2,5,168,-0.0993891104296713,1.02207865768015,1.24501168707416
4,1,0,5,1,2,5,168,-0.198509886315641,1.09223261054946,1.33629447024248
4,1,0,5,1,2,5,168,0.135592700813198,0.899735414424111,1.20236651948061
4,1,0,5,1,2,5,168,0.0935992549054269,0.936640166331849,1.15531492597005
4,1,0,5,1,2,5,168,-0.112549106640954,0.87960024164514,1.20250696506654
4,1,0,5,1,2,5,168,0.143605395527329,1.10347943084666,1.29532919634276
4,1,0,5,1,2,5,168,-0.0653464651452598,1.32891501536143,1.54652614516552
4,1,0,5,1,2,5,168,0.172131588469874,0.840222707745959,1.15397016738498
4,1,0,5,1,2,5,168,0.0627990290898549,0.814507738199117,1.09933159311069
4,1,0,5,1,2,5,168,0.139125558480318,0.93178411730817,1.220498552664
4,1,0,5,1,2,5,168,0.156382333594128,0.840328328615656,1.17902551716737
4,1,0,5,1,2,5,168,0.156110959206746,0.879288542671908,1.08301465604685
4,1,0,5,1,2,5,168,-0.0390372068470023,0.794844510652048,1.09826629604053
4,1,0,5,1,2,5,168,0.00124228440397433,0.917915126771208,1.21379823566162
4,1,0,5,1,2,5,168,-0.0837652100823919,1.03097641908582,1.25531617768831
4,1,0,5,1,2,5,168,-0.20287337531418,0.999502496607129,1.36070688505535
4,1,0,5,1,2,5,168,-0.138000980714197,0.889727730942785,1.21056017706139
4,1,0,5,1,2,5,168,0.0421452988668803,1.01473464158361,1.25145255437564
4,1,0,5,1,2,5,168,0.144459697063132,0.891595462222193,1.17892461447274
4,1,0,5,1,2,5,168,0.0817632373845309,0.927206879471887,1.26076057355863
4,1,0,5,1,2,5,168,-0.131696881576403,0.832553735773346,1.05827884828121
