"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
5,1,0,6,1,2,6,136,0.127780855325743,0.697080607273412,0.884078742808718
5,1,0,6,1,2,6,136,0.337462269317719,0.60912249675694,0.784602830243129
5,1,0,6,1,2,6,136,-0.11179521877649,0.694449904257529,0.834162801853408
5,1,0,6,1,2,6,136,0.327310681425757,0.626010898665432,0.791159065100823
5,1,0,6,1,2,6,136,0.141264257959647,0.661131881341734,0.820561607375364
5,1,0,6,1,2,6,136,0.26153462411753,0.700417722422014,0.900122276062061
5,1,0,6,1,2,6,136,-0.294907391604807,0.835086766750105,0.997285399748484
5,1,0,6,1,2,6,136,0.0127776068825704,0.719197869439567,0.906269633377823
5,1,0,6,1,2,6,136,0.411693557497277,0.634524809234867,0.770820635132807
5,1,0,6,1,2,6,136,0.466782308912188,0.596094428869822,0.759966586908081
5,1,0,6,1,2,6,136,0.375496359811463,0.650069326210767,0.805032774161017
5,1,0,6,1,2,6,136,0.375192541522435,0.616096642521481,0.781335819285189
5,1,0,6,1,2,6,136,0.413838924966804,0.643561350863075,0.829437483829391
5,1,0,6,1,2,6,136,-0.284456574255409,0.724835624304242,0.893121104144315
5,1,0,6,1,2,6,136,0.245948541921735,0.63677327401409,0.775116404948599
5,1,0,6,1,2,6,136,0.44235293584282,0.578138736503933,0.739677260116641
5,1,0,6,1,2,6,136,0.473437824079285,0.575958875686517,0.74367087941245
5,1,0,6,1,2,6,136,0.341436258159358,0.611712663312113,0.769744395533978
5,1,0,6,1,2,6,136,0.469336374310588,0.576393567658252,0.726246333109592
5,1,0,6,1,2,6,136,-0.00445811400003456,0.785481698999145,0.984260721458183
5,1,0,6,1,2,6,136,0.111638169793644,0.653323938926397,0.794908753739284
5,1,0,6,1,2,6,136,0.421077702211732,0.712727096786317,0.844071777351433
5,1,0,6,1,2,6,136,0.424496654458039,0.600111911205903,0.751255736763733
5,1,0,6,1,2,6,136,0.280154676583619,0.732248396176298,0.950140207823796
5,1,0,6,1,2,6,136,0.421249341521805,0.584003096440417,0.724308814571832
5,1,0,6,1,2,6,136,0.440264780534922,0.631639053172423,0.81190399256036
5,1,0,6,1,2,6,136,0.339380529842705,0.627113515846469,0.802678354198501
5,1,0,6,1,2,6,136,0.0170457563422772,0.860439292826558,1.02877811727208
5,1,0,6,1,2,6,136,0.435058918113222,0.627061792780066,0.793124629924982
5,1,0,6,1,2,6,136,0.178420562870493,0.636330029298473,0.806313628420904
