"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
5,1,0,6,1,2,6,136,-0.223975554676493,0.972792645356092,1.18339011571993
5,1,0,6,1,2,6,136,0.291054733731825,0.715905257445746,0.908376659937719
5,1,0,6,1,2,6,136,0.280111558027699,0.697852218710965,0.906453053626336
5,1,0,6,1,2,6,136,0.024351813574774,0.81055677782215,1.05071840085423
5,1,0,6,1,2,6,136,0.34595367069133,0.776359543016452,0.972010452191857
5,1,0,6,1,2,6,136,-0.0757818243036708,0.977269420267015,1.20537321522461
5,1,0,6,1,2,6,136,0.071779296498549,0.91003882309836,1.15421019454126
5,1,0,6,1,2,6,136,0.0716131411767727,1.02744366718027,1.33212146155248
5,1,0,6,1,2,6,136,0.0409741954120783,0.917998851565593,1.17905564417449
5,1,0,6,1,2,6,136,0.296892168873718,0.738418543244739,0.981378763721859
5,1,0,6,1,2,6,136,0.260505438486702,0.821848296425376,0.997951330722416
5,1,0,6,1,2,6,136,0.175143196982823,0.820904227367974,1.03955901449672
5,1,0,6,1,2,6,136,-0.028216529846394,0.824691902698296,1.04762198606688
5,1,0,6,1,2,6,136,-0.0746603661564239,0.913017965008068,1.17509059342776
5,1,0,6,1,2,6,136,0.195311422850779,0.798270346772221,1.04686152959379
5,1,0,6,1,2,6,136,0.315025605945139,0.705740147970815,0.924058193159793
5,1,0,6,1,2,6,136,0.119404901631924,0.755523045647919,0.990779316750288
5,1,0,6,1,2,6,136,-0.0177097331116949,0.810282013425082,1.02592029036652
5,1,0,6,1,2,6,136,0.22183967592961,0.731873148167399,0.945039664678315
5,1,0,6,1,2,6,136,0.301544799478589,0.699934761112829,0.884785183403187
5,1,0,6,1,2,6,136,0.0699113736464022,0.889847769981673,1.08911461369093
5,1,0,6,1,2,6,136,0.23607604467266,0.683886044561745,0.89437351077715
5,1,0,6,1,2,6,136,0.30338874371951,0.680776318943341,0.892138450587876
5,1,0,6,1,2,6,136,-0.149158915686624,0.998761817603558,1.16994307438753
5,1,0,6,1,2,6,136,0.257570409861407,0.809486848336248,1.0006662471107
5,1,0,6,1,2,6,136,0.136557476294551,0.724672446043592,0.957824932203334
5,1,0,6,1,2,6,136,0.173419446774719,0.722217561566595,0.923337470707247
5,1,0,6,1,2,6,136,0.108325403658754,0.791414018646059,0.98311100819331
5,1,0,6,1,2,6,136,0.101827706876738,0.749767723951521,0.913746806210632
5,1,0,6,1,2,6,136,0.160117784974135,0.697281594090019,0.890465608951037
5,1,0,6,1,2,6,136,0.172495375256905,0.86714538962398,1.16403974827767
5,1,0,6,1,2,6,136,0.0281016539678228,0.753017254946163,1.00217719461822
5,1,0,6,1,2,6,136,-0.00111766696516176,0.706727054404692,0.912487430450191
5,1,0,6,1,2,6,136,-0.0058845601699746,0.945306139465258,1.14199117615694
5,1,0,6,1,2,6,136,0.191896897800721,0.794593913446644,1.07045567622507
5,1,0,6,1,2,6,136,-0.0757204992110703,0.787219029608544,0.999217667991956
5,1,0,6,1,2,6,136,0.21405573119828,0.72180064194602,0.922372090427288
5,1,0,6,1,2,6,136,0.223465815074837,0.788478746173881,0.989377143702968
5,1,0,6,1,2,6,136,0.188516554220573,0.688360223820575,0.91820619015532
5,1,0,6,1,2,6,136,0.193929172645881,0.703479701571336,0.91208198578388
5,1,0,6,1,2,6,136,0.155821263418687,0.70621932551389,0.919048711983224
5,1,0,6,1,2,6,136,0.0409418738026396,0.842863858072718,1.09965393779888
5,1,0,6,1,2,6,136,0.0370768115931611,0.725296272723072,0.912045375764446
5,1,0,6,1,2,6,136,0.167807014267687,0.758191408518713,1.00428818820521
5,1,0,6,1,2,6,136,0.261059314792,0.711537519574988,0.933399911330177
5,1,0,6,1,2,6,136,0.0955779413949116,0.780013498618574,0.986727575292731
5,1,0,6,1,2,6,136,0.118746787233882,0.71095956011398,0.900970711187465
5,1,0,6,1,2,6,136,0.271945121278458,0.736337227985008,0.956497555948424
5,1,0,6,1,2,6,136,-0.103346224988627,1.00645105387868,1.30107359844747
5,1,0,6,1,2,6,136,-0.152281953586733,0.731175574898441,0.933136826930839
5,1,0,6,1,2,6,136,0.312380352522654,0.699463878138038,0.927616657356577
5,1,0,6,1,2,6,136,0.19486960033113,0.765394733012808,0.995594321411812
5,1,0,6,1,2,6,136,-0.240714813950603,0.857521501365989,1.07997302099028
5,1,0,6,1,2,6,136,0.128425296566013,0.869440047603594,1.10188788844588
5,1,0,6,1,2,6,136,0.117393383982042,0.773189062639575,0.957039823344166
5,1,0,6,1,2,6,136,0.276200359882155,0.70092570113006,0.893170426241028
5,1,0,6,1,2,6,136,0.0555037260200063,0.847978758645932,1.06043889284053
5,1,0,6,1,2,6,136,0.2499735977267,0.733973398933967,0.925389366834611
5,1,0,6,1,2,6,136,0.311273711519936,0.703769963840575,0.899019019143542
5,1,0,6,1,2,6,136,0.253303970984313,0.764580503642833,0.942984519469592
5,1,0,6,1,2,6,136,0.0404410507503171,0.801724829330392,1.01202004097771
5,1,0,6,1,2,6,136,0.195661715668964,0.722678341606188,0.91740559598751
5,1,0,6,1,2,6,136,0.259695451906,0.732972431817516,0.946194990929963
5,1,0,6,1,2,6,136,0.274840451434147,0.761076135373666,0.923740960760716
5,1,0,6,1,2,6,136,0.0852463188519305,0.694402664693975,0.908648324535557
5,1,0,6,1,2,6,136,0.165853305131849,0.714279623125703,0.908312984253547
5,1,0,6,1,2,6,136,0.0801544648800989,0.950434836609325,1.19844682310271
5,1,0,6,1,2,6,136,-0.16340234151218,1.02171232370396,1.35480858392133
5,1,0,6,1,2,6,136,0.0379735264065042,0.843096259908518,1.06431264329187
5,1,0,6,1,2,6,136,0.0144117950533277,0.781375144677016,0.953457305143878
5,1,0,6,1,2,6,136,-0.149690767891893,0.813112300575477,1.05851627531902
5,1,0,6,1,2,6,136,0.0275336697946885,0.874518394447102,1.07587905187689
5,1,0,6,1,2,6,136,0.261435745099667,0.918756556764639,1.14428571587662
5,1,0,6,1,2,6,136,0.0239743924006634,0.72517098987093,0.950911042664976
5,1,0,6,1,2,6,136,0.114238109645946,0.803209517088871,0.984733487944687
5,1,0,6,1,2,6,136,-0.0468122363780104,1.00348036840656,1.2648702250671
5,1,0,6,1,2,6,136,0.0210904730777609,0.781859374133702,0.967079598291843
5,1,0,6,1,2,6,136,0.0696583791348165,0.79368962746334,1.06400357274985
5,1,0,6,1,2,6,136,0.219492870715223,0.791521110562179,1.01491555611665
5,1,0,6,1,2,6,136,0.326517961111705,0.725179835851021,0.916088978631764
5,1,0,6,1,2,6,136,0.348480746881374,0.796411968806201,0.987481165047099
5,1,0,6,1,2,6,136,0.165119045271437,0.69403814968642,0.89916869662825
5,1,0,6,1,2,6,136,-0.105219505178026,1.17884093961112,1.38114363726934
5,1,0,6,1,2,6,136,0.281914130279368,0.692813286413226,0.89614035247629
5,1,0,6,1,2,6,136,-0.117063706862705,0.819824006879162,1.03631660258051
5,1,0,6,1,2,6,136,-0.0442140841599787,0.841416079027651,1.12224420276724
5,1,0,6,1,2,6,136,-0.0983468353881658,0.861491637155522,1.07123870366428
5,1,0,6,1,2,6,136,-0.0297224099355564,0.845959898422219,1.02664740246011
5,1,0,6,1,2,6,136,0.014649386203844,0.846056105361463,1.06231116074717
