"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
5,1,0,6,1,2,6,136,-0.0590066680032614,0.861700915649128,1.04962412475085
5,1,0,6,1,2,6,136,0.0467075189489181,0.777834831376627,0.927245363811926
5,1,0,6,1,2,6,136,-0.0280826845569354,0.892845390111452,1.07877060620772
5,1,0,6,1,2,6,136,-0.132066470756721,1.00163937357831,1.29553577506294
5,1,0,6,1,2,6,136,0.17164745616233,0.818159787242965,1.00276753980244
5,1,0,6,1,2,6,136,0.187005461749757,0.784692767827916,0.918642524449702
5,1,0,6,1,2,6,136,-0.167800071660191,0.986128667722191,1.22405971481506
5,1,0,6,1,2,6,136,0.0637666514389958,0.908543317096874,1.08187532480397
5,1,0,6,1,2,6,136,0.213101569541936,0.777754644071825,0.924366888291997
5,1,0,6,1,2,6,136,0.104215220500997,0.783868324219802,0.931891233907533
5,1,0,6,1,2,6,136,0.136974528853331,0.803313165757117,0.963958894037138
5,1,0,6,1,2,6,136,-0.0225409141667211,0.807320587328285,0.980823265984969
5,1,0,6,1,2,6,136,-0.010909975959497,0.97230433730637,1.13213008595675
5,1,0,6,1,2,6,136,0.133657180471588,0.880250024056449,1.06767087499
5,1,0,6,1,2,6,136,0.0863920717011944,0.89004353828473,1.09489486926195
5,1,0,6,1,2,6,136,0.253058390660334,0.844436405128167,1.02802060489659
5,1,0,6,1,2,6,136,-0.0172633988826443,0.883856006892294,1.0716205416969
5,1,0,6,1,2,6,136,-0.147736998276586,0.797733497093877,0.954332590419262
5,1,0,6,1,2,6,136,0.0268224457782897,0.774659737330079,0.934986253987235
5,1,0,6,1,2,6,136,-0.0372381968559748,0.869382107971369,1.06929542245301
5,1,0,6,1,2,6,136,0.130709385346434,0.779096232070291,0.929060021953655
5,1,0,6,1,2,6,136,-0.0916164225948212,0.806504652986487,0.986892250988282
5,1,0,6,1,2,6,136,0.137470816533492,0.913575676215376,1.0916715849503
5,1,0,6,1,2,6,136,0.105323864646827,0.834608643198004,1.01085321668057
5,1,0,6,1,2,6,136,-0.0817953965724206,0.923093464454128,1.0992972699804
