"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
5,1,0,6,1,2,6,144,-0.0571702418789349,0.81636843929986,0.942241983705126
5,1,0,6,1,2,6,144,-0.00528671561676437,0.76926250463074,0.904986649370932
5,1,0,6,1,2,6,144,-0.0895792461894407,0.768941092342016,0.888681565099307
5,1,0,6,1,2,6,144,-0.012677422964672,0.732407272752645,0.876741327533724
5,1,0,6,1,2,6,144,-0.230370476001543,0.777553174372986,0.906117564275392
5,1,0,6,1,2,6,144,-0.0921399477984284,0.778728390765825,0.918922233527735
5,1,0,6,1,2,6,144,0.0797471899754582,0.721060073643673,0.905848647184981
5,1,0,6,1,2,6,144,-0.0255131918776565,0.721392660180255,0.950710185521713
5,1,0,6,1,2,6,144,-0.0397651502400925,0.797591988111648,0.958826535839581
5,1,0,6,1,2,6,144,-0.0771808366322554,0.731472293384631,0.891390467954366
5,1,0,6,1,2,6,144,0.0356109409538462,0.708891578462491,0.862099451133581
5,1,0,6,1,2,6,144,-0.0870630756889014,0.839513686717622,1.02525925630878
5,1,0,6,1,2,6,144,-0.0151314877186214,0.789716412208197,0.916071010069742
5,1,0,6,1,2,6,144,-0.0289653028504902,0.755978526134634,0.916549615533014
5,1,0,6,1,2,6,144,0.0127038928894932,0.740099460030478,0.874418069086078
5,1,0,6,1,2,6,144,-0.0563909794169548,0.752556981927959,0.876796498562187
5,1,0,6,1,2,6,144,0.0285634522909302,0.836649393165855,0.936622844619559
5,1,0,6,1,2,6,144,-0.153036068350748,0.761402802528824,0.893309661411936
5,1,0,6,1,2,6,144,-0.182513761887425,0.7997920195093,0.934217351878443
5,1,0,6,1,2,6,144,0.00292155558937493,0.751658782311318,0.894880631396213
5,1,0,6,1,2,6,144,0.00657373025853328,0.741284548247096,0.916368008372849
5,1,0,6,1,2,6,144,-0.0302075020592062,0.732011766274369,0.937584103177818
5,1,0,6,1,2,6,144,-0.0156301464080059,0.899572275224973,1.02136113347774
5,1,0,6,1,2,6,144,-0.0929161373908766,0.729886862384511,0.887284118654795
5,1,0,6,1,2,6,144,-0.0197726860062563,0.740290946544458,0.948925425193473
5,1,0,6,1,2,6,144,-0.0639333913595408,0.736565612826081,0.896163674977985
5,1,0,6,1,2,6,144,0.00317376423058192,0.719638575297933,0.920366439158324
5,1,0,6,1,2,6,144,-0.067961398151122,0.75330292211736,0.871195309315056
5,1,0,6,1,2,6,144,-0.103467063154582,1.01680757312855,1.20863773863714
5,1,0,6,1,2,6,144,-0.078934387243496,0.837663442943173,1.00456164432688
5,1,0,6,1,2,6,144,-0.0165293403851214,0.779425082058638,0.895507281991341
5,1,0,6,1,2,6,144,-0.0958332733271359,0.94403844814923,1.22057511845107
5,1,0,6,1,2,6,144,-0.0920567910821056,0.722955821943293,0.906881554654538
5,1,0,6,1,2,6,144,-0.0483904665193528,0.733904026205331,0.862519992617953
5,1,0,6,1,2,6,144,-0.116891050090018,0.815806950811975,1.07150363203648
5,1,0,6,1,2,6,144,-0.0889480534657957,0.774451808607229,0.901403308237475
5,1,0,6,1,2,6,144,-0.0463880079248968,0.759403537568528,0.969764167576853
5,1,0,6,1,2,6,144,0.0407069844598429,0.749789880177923,0.867804448067028
5,1,0,6,1,2,6,144,-0.106516828299653,0.789473817193768,0.90498817865247
5,1,0,6,1,2,6,144,-0.0226444205001467,0.771597039857367,0.889686813621345
