"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
5,1,0,6,1,2,6,144,-0.445704637818292,0.797088949407969,0.974400614949109
5,1,0,6,1,2,6,144,-0.0877687043322544,0.765145591310134,0.929598399714346
5,1,0,6,1,2,6,144,0.226051287498659,0.837997650668115,1.02436621210428
5,1,0,6,1,2,9,144,0.237043250029127,0.735656970474532,0.878064981413089
5,1,0,6,1,2,9,144,0.185122366810219,0.749274911069042,0.895659997612663
5,1,0,6,1,2,9,144,0.362870735976892,0.706735025129128,0.842464671947697
5,1,0,6,1,2,12,144,0.37400671627278,0.888432022662509,1.09671828024847
5,1,0,6,1,2,12,144,0.452064128476739,0.686864801891215,0.803707027664191
5,1,0,6,1,2,12,144,0.0986902369313288,0.764472891420608,0.937047498725906
5,1,0,6,1,2,15,144,0.496511560017327,0.659771257673802,0.808912353275677
5,1,0,6,1,2,15,144,0.477370437732856,0.704156732567769,0.818561567161378
5,1,0,6,1,2,15,144,0.382803802586237,0.730309885360536,0.872404295083738
5,1,0,6,1,2,18,144,0.399410954615645,0.726193006522776,0.847329723329719
5,1,0,6,1,2,18,144,0.34084764825821,0.799294031636646,0.960224250438395
5,1,0,6,1,2,18,144,0.0724746777249208,0.7956995495607,0.968301307673559
5,1,0,6,1,2,21,144,0.437963226317594,0.718132960195985,0.832496568412424
5,1,0,6,1,2,21,144,0.369829444982922,0.707358167781447,0.845953549360063
5,1,0,6,1,2,21,144,0.486731025691625,0.660230514298217,0.795168369336252
5,1,0,6,1,2,24,144,0.35049873581914,0.709991912488354,0.852401683094237
5,1,0,6,1,2,24,144,0.121036137359409,0.815090132084127,0.990573238494619
5,1,0,6,1,2,24,144,0.358114483603322,0.711927161829751,0.844670101404482
5,1,0,6,1,2,27,144,0.335527358988784,0.74173337361434,0.875659383217671
5,1,0,6,1,2,27,144,0.316505100536443,0.73434985912914,0.882565232150807
5,1,0,6,1,2,27,144,0.305850836523567,0.745258166200566,0.880914064094034
5,1,0,6,1,2,30,144,0.00323401552501714,0.80234763294781,0.964005804839303
5,1,0,6,1,2,30,144,0.50691334302116,0.671076618185059,0.779404323743486
5,1,0,6,1,2,30,144,0.438921577599965,0.699139063603031,0.809072900070787
5,1,0,6,1,2,33,144,0.440239157652826,0.70014142378353,0.836179739300725
5,1,0,6,1,2,33,144,0.424282742924295,0.720571774191102,0.860336035393785
5,1,0,6,1,2,33,144,0.269898126128352,0.731449807152131,0.873811433151869
5,1,0,6,1,2,36,144,0.478766138289534,0.666212894505094,0.804150306262866
5,1,0,6,1,2,36,144,0.37513937228926,0.72940952087335,0.864798065143486
