"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,-0.177579049527503,0.781386744591578,0.885110766299977
6,1,0,7,1,2,7,120,0.0807092198530758,1.05459380749253,1.20621088817391
6,1,0,7,1,2,7,120,0.0422324179721208,0.761682830242045,0.857916600959357
6,1,0,7,1,2,7,120,0.240454133462214,0.719993057615051,0.825343360546148
6,1,0,7,1,2,7,120,0.206345186681413,0.765673696243349,0.845936377730849
6,1,0,7,1,2,7,120,0.282898743223657,0.728623842669249,0.830160398399353
6,1,0,7,1,2,7,120,0.311360991056398,0.727661105284463,0.81582612825942
6,1,0,7,1,2,7,120,0.207100913810479,0.778514392489922,0.857252969202361
6,1,0,7,1,2,7,120,0.359585165819684,0.711222494256295,0.801589678263133
6,1,0,7,1,2,7,120,0.160901858125141,0.727656854659488,0.847759433286506
6,1,0,7,1,2,7,120,-0.298758034160687,0.773857112159442,0.900435887283728
6,1,0,7,1,2,7,120,0.161895745085404,0.704892571658743,0.921219672902274
6,1,0,7,1,2,7,120,0.153295996801405,0.740293357456434,0.844636808639929
6,1,0,7,1,2,7,120,0.361411653997337,0.675353703092315,0.793244922132386
6,1,0,7,1,2,7,120,0.342776919839771,0.750305141194377,0.839085169332858
6,1,0,7,1,2,7,120,0.263878126643859,0.710284059793184,0.821162063483988
6,1,0,7,1,2,7,120,0.151272684557454,0.917528216727676,1.03514678696592
6,1,0,7,1,2,7,120,0.251066128013959,0.68832597488389,0.922917117718009
6,1,0,7,1,2,7,120,0.135849289097956,0.789252053315742,0.866101251127902
6,1,0,7,1,2,7,120,0.243612211504387,0.743416941509728,0.836647804063564
6,1,0,7,1,2,7,120,0.116998554325589,0.732015676702291,0.873562762842393
6,1,0,7,1,2,7,120,-0.360885369425757,0.848773385206304,0.944265095918499
6,1,0,7,1,2,7,120,-0.155347677711109,0.796723952040867,0.901413603984368
6,1,0,7,1,2,7,120,0.128616027017455,0.726932555392121,0.852216780075749
6,1,0,7,1,2,7,120,0.363581615564549,0.753713638538324,0.851449005186378
6,1,0,7,1,2,7,120,0.0441032658082103,0.683011943813467,1.08986268279897
6,1,0,7,1,2,7,120,0.109946303906809,0.710588350329831,0.90246593116231
6,1,0,7,1,2,7,120,0.237913029725349,0.715548219911342,0.82885773616
6,1,0,7,1,2,7,120,0.219140650116113,0.749504771217867,0.84165605012763
6,1,0,7,1,2,7,120,-0.42690518489035,0.735859689892884,1.04188576903273
6,1,0,7,1,2,7,120,0.0763835493028652,0.703961236423559,0.959449280671479
6,1,0,7,1,2,7,120,-0.228172677653325,0.748841407231589,0.937874540654181
6,1,0,7,1,2,7,120,0.128953652317703,0.706031714384015,0.921482347607708
6,1,0,7,1,2,7,120,0.0482175945954518,0.734190033347684,0.872532007658771
6,1,0,7,1,2,7,120,0.29510374652379,0.824668944166522,0.929286349343333
