"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,0.0918703401029144,0.851857494494766,1.00427077522734
6,1,0,7,1,2,7,120,-0.0614818625171191,0.684849391786313,0.851487498798694
6,1,0,7,1,2,7,120,-0.152243089719549,0.714065594851688,0.866766864715908
6,1,0,7,1,2,10,120,0.044305833616188,0.791732410709378,0.947727384451139
6,1,0,7,1,2,10,120,0.023906035512153,0.819400107113351,0.959303481439323
6,1,0,7,1,2,10,120,-0.00228017104736377,0.765744866415626,0.868056648414926
6,1,0,7,1,2,13,120,0.0498938766807407,0.834692534366193,1.02526267510607
6,1,0,7,1,2,13,120,-0.0887538848287604,0.717901048691308,0.847861295427535
6,1,0,7,1,2,13,120,-0.155868913722187,0.720032093246576,0.851410049412726
6,1,0,7,1,2,16,120,-0.268347165885665,0.860887168970452,0.984657136311616
6,1,0,7,1,2,16,120,-0.307072186798712,0.823676790817051,0.937426865677969
6,1,0,7,1,2,16,120,-0.105851490212248,0.74465421121508,0.862769810909268
6,1,0,7,1,2,19,120,0.0460428713847903,0.755952849457392,0.919811419070635
6,1,0,7,1,2,19,120,-0.121026943325084,0.748194477430523,0.879338314064332
6,1,0,7,1,2,19,120,-0.266031124546238,0.75103145353185,0.881173188031447
6,1,0,7,1,2,22,120,-0.0720949402267222,0.719997456175314,0.864834779995883
6,1,0,7,1,2,22,120,-0.0548848499819987,0.77055735959695,0.913743803229283
6,1,0,7,1,2,22,120,-0.0843439896006296,0.760493413450147,0.880037332509563
6,1,0,7,1,2,25,120,-0.102724864017599,0.713650922141397,0.875119436802564
6,1,0,7,1,2,25,120,-0.00435555486038361,0.777195180623556,0.959889380688155
6,1,0,7,1,2,25,120,-0.17628439567047,0.729745344449228,0.88413646164323
6,1,0,7,1,2,28,120,-0.0601429068610448,0.758508236862675,0.899510595281812
6,1,0,7,1,2,28,120,-0.144381712987461,0.769587644719598,0.889599431085094
6,1,0,7,1,2,28,120,-0.137026287774631,0.81365287162945,0.93148922020073
6,1,0,7,1,2,31,120,-0.261873177728125,0.7804086177355,0.897249102888855
6,1,0,7,1,2,31,120,-0.161390383307094,0.737144004228751,0.893190350974164
6,1,0,7,1,2,31,120,-0.0390471995430766,0.741933257851482,0.905790426042469
6,1,0,7,1,2,34,120,-0.196261350363872,0.747791242882222,0.905395682145638
6,1,0,7,1,2,34,120,-0.0227292336115797,0.792045817465968,0.966089697865286
6,1,0,7,1,2,34,120,0.0102717252181235,0.75806770803534,0.955404985034311
6,1,0,7,1,2,37,120,-0.12986043411932,0.766159110016702,0.909508849996731
6,1,0,7,1,2,37,120,-0.166749625909236,0.759882588416016,0.902420884638705
6,1,0,7,1,2,37,120,0.0247443937390227,0.741939713044883,0.884057950486873
6,1,0,7,1,2,40,120,-0.135833390194326,0.719814439166803,0.884711854959418
6,1,0,7,1,2,40,120,-0.189171687152062,0.774467855158303,0.906939511154327
6,1,0,7,1,2,40,120,-0.148598200213055,0.744539618573573,0.887132314404011
6,1,0,7,1,2,43,120,-0.0853219745151978,0.762655133380737,0.913265202058285
6,1,0,7,1,2,43,120,-0.0888377003708367,0.724189988176659,0.901140905813859
6,1,0,7,1,2,43,120,-0.227973291647321,0.783080973097871,0.941271012819261
6,1,0,7,1,2,46,120,-0.108182186350198,0.759236427756637,0.90147705330643
6,1,0,7,1,2,46,120,-0.0993462649844894,0.73964986008253,0.904526371904545
6,1,0,7,1,2,46,120,-0.177014192102008,0.772126895900389,0.907724828508671
6,1,0,7,1,2,49,120,-0.211139149647079,0.757039219721075,0.915983593040889
6,1,0,7,1,2,49,120,-0.0319463329727609,0.719744449924193,0.875533946417107
6,1,0,7,1,2,49,120,-0.176746841702454,0.760475721987591,0.926019862742184
6,1,0,7,1,2,52,120,-0.0816389657320901,0.743399950429718,0.900752544462401
6,1,0,7,1,2,52,120,-0.157840600342371,0.759251173453992,0.907635438032379
6,1,0,7,1,2,52,120,-0.198662866799007,0.754113543255147,0.910311920284974
6,1,0,7,1,2,55,120,-0.0487438050646745,0.729748008683976,0.90442523885204
6,1,0,7,1,2,55,120,-0.160943083703563,0.770673238456162,0.899162327217359
6,1,0,7,1,2,55,120,-0.0630194291422056,0.755161547823633,0.918992470676463
6,1,0,7,1,2,58,120,-0.126109302083201,0.747876894303801,0.912671192072674
6,1,0,7,1,2,58,120,-0.177140413719098,0.770082712203762,0.933823207922325
6,1,0,7,1,2,58,120,-0.145232952773189,0.757494394269147,0.928946671428913
6,1,0,7,1,2,61,120,-0.102496172291576,0.737661110133025,0.899546048074031
6,1,0,7,1,2,61,120,-0.108174411923841,0.794843671513315,0.963855933611079
6,1,0,7,1,2,61,120,-0.113976282496016,0.756461571115836,0.902200609788677
6,1,0,7,1,2,64,120,-0.0857614073192539,0.735806201092512,0.896148157626605
6,1,0,7,1,2,64,120,-0.208490825654105,0.772721950771214,0.929395138015079
6,1,0,7,1,2,64,120,-0.114466920032913,0.757913868133857,0.920684854869114
6,1,0,7,1,2,67,120,-0.00155783255937737,0.730870877023038,0.894117898183879
6,1,0,7,1,2,67,120,-0.0437989003245527,0.7276314819316,0.880351862463424
6,1,0,7,1,2,67,120,-0.164003987517999,0.76418679085349,0.927632327407278
6,1,0,7,1,2,70,120,-0.108156215042478,0.736564146475334,0.893540127814386
6,1,0,7,1,2,70,120,-0.166622855776356,0.749326754270076,0.919786396213104
6,1,0,7,1,2,70,120,-0.142230230553992,0.768497460928774,0.927114436831812
6,1,0,7,1,2,73,120,-0.115208534591861,0.748605013821346,0.916810554499063
6,1,0,7,1,2,73,120,-0.192199727066041,0.754919228010907,0.923702714929011
6,1,0,7,1,2,73,120,-0.172013318603589,0.782139220642801,0.938530298838406
6,1,0,7,1,2,76,120,-0.0922911784484911,0.741997721643162,0.898921381629163
6,1,0,7,1,2,76,120,-0.180268887381262,0.755170666205266,0.915811129633481
6,1,0,7,1,2,76,120,-0.152666166909854,0.758095270391624,0.914753969413297
6,1,0,7,1,2,79,120,-0.19712496652217,0.765229505548824,0.930284883201625
6,1,0,7,1,2,79,120,-0.222753114604619,0.766831595450271,0.928457585398934
6,1,0,7,1,2,79,120,-0.0472859065019308,0.743152686897319,0.897777268892402
6,1,0,7,1,2,82,120,-0.151391739935583,0.753124590621927,0.906252091179166
6,1,0,7,1,2,82,120,-0.2272498677029,0.766403034826017,0.928529027798355
6,1,0,7,1,2,82,120,-0.0761452116205292,0.745248280783658,0.91989135889261
6,1,0,7,1,2,85,120,-0.213213237344471,0.75758149207518,0.9164886793325
6,1,0,7,1,2,85,120,-0.314761046242573,0.807933682602245,0.962691714400665
6,1,0,7,1,2,85,120,-0.169929961363706,0.77195748296314,0.935118189327971
6,1,0,7,1,2,88,120,-0.203920082053641,0.767463482974163,0.936055566893285
6,1,0,7,1,2,88,120,-0.0794492053597509,0.755234462712221,0.901152040667148
6,1,0,7,1,2,88,120,-0.11434994082692,0.762718742244848,0.916296765026466
6,1,0,7,1,2,91,120,-0.22783529885122,0.788327729451416,0.951213326816734
6,1,0,7,1,2,91,120,-0.16545029167583,0.769373880208817,0.936432300533689
6,1,0,7,1,2,91,120,-0.244714447111017,0.785333136278479,0.939232957425838
6,1,0,7,1,2,94,120,-0.188686201132191,0.779866013362165,0.939518412059982
6,1,0,7,1,2,94,120,-0.143916317402144,0.783013232001558,0.946444409636605
6,1,0,7,1,2,94,120,-0.236195659571889,0.777280473503122,0.943211789904634
6,1,0,7,1,2,97,120,-0.197640636011525,0.776913156597308,0.938771280317877
6,1,0,7,1,2,97,120,-0.192265313686957,0.775210299292101,0.937678839427953
6,1,0,7,1,2,97,120,-0.186862466122942,0.780720007112757,0.942661004253664
6,1,0,7,1,2,100,120,-0.204835516319604,0.785548861382394,0.944727719581479
6,1,0,7,1,2,100,120,-0.194535878688839,0.772628676932538,0.940938890552675
