"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,0.341173581242399,0.710079383454672,0.913645732688107
6,1,0,7,1,2,7,120,0.419274993294186,0.659669167744726,0.804061994409599
6,1,0,7,1,2,7,120,0.451737180782959,0.654777461590857,0.79146877726874
6,1,0,7,1,2,7,120,0.396794389503466,0.819571475990899,0.943220454284904
6,1,0,7,1,2,7,120,0.423392620274031,0.724960252193017,0.845661552819744
6,1,0,7,1,2,7,120,0.361540239825334,0.693336088842095,0.830052860714034
6,1,0,7,1,2,7,120,0.368017675221755,0.698762906997973,0.828844681968104
6,1,0,7,1,2,7,120,0.140238509990394,0.869271292190896,1.0302912422348
6,1,0,7,1,2,7,120,0.357057463567654,0.706517899632256,0.909369649437431
6,1,0,7,1,2,7,120,0.139516933654164,0.725325372590035,0.888738075606416
6,1,0,7,1,2,7,120,0.322516072190628,0.696148836236357,0.850622075203017
6,1,0,7,1,2,7,120,0.367358448497381,0.748834440177151,0.955419602957655
6,1,0,7,1,2,7,120,0.334967677867236,0.70581906612088,0.919736133266916
6,1,0,7,1,2,7,120,0.353951219631559,0.764168934295439,0.891114017052083
6,1,0,7,1,2,7,120,0.344633927048257,0.737661370987278,0.864068340163826
6,1,0,7,1,2,7,120,0.00557834151124807,0.706938584739279,0.896315449598864
6,1,0,7,1,2,7,120,-0.0610096014773563,0.71281581885314,0.916411870045014
6,1,0,7,1,2,7,120,0.32108012984042,0.700750955726015,0.855387751134314
6,1,0,7,1,2,7,120,0.322944450092947,0.791000684886581,1.02614748056222
6,1,0,7,1,2,7,120,0.0545883428087464,0.819669381601501,0.981238465678364
6,1,0,7,1,2,7,120,-0.119715390750948,0.862905642755155,1.02214889745666
6,1,0,7,1,2,7,120,0.0414746722117971,0.804567615680725,0.96820299211559
6,1,0,7,1,2,7,120,0.0440626815755851,0.753893310261632,0.932962978534779
6,1,0,7,1,2,7,120,0.103627926242699,0.795899530768439,0.956425872973715
6,1,0,7,1,2,7,120,0.402163838981244,0.678079317911899,0.811176910755993
6,1,0,7,1,2,7,120,0.429874365046432,0.8215348161331,1.04669811064633
6,1,0,7,1,2,7,120,0.190974563436316,0.734231806427805,0.878479504309122
6,1,0,7,1,2,7,120,0.261987500041838,0.719021260419753,0.887810837701363
6,1,0,7,1,2,7,120,0.225163547288649,0.851669280103952,1.00106804945657
6,1,0,7,1,2,7,120,0.138917533937528,0.953991768098112,1.10554288333447
6,1,0,7,1,2,7,120,0.0294168813062778,0.776389374112947,0.939116820865308
6,1,0,7,1,2,7,120,-0.156451777647218,0.725204977018604,0.941284799742669
6,1,0,7,1,2,7,120,0.146950338863858,0.78411168031382,0.934282053480545
6,1,0,7,1,2,7,120,0.406243439008301,0.670997481810626,0.833895326325704
6,1,0,7,1,2,7,120,-0.282648829976456,0.76221356485702,0.988261148761945
6,1,0,7,1,2,7,120,0.306893834296781,0.699584125769671,0.868526651879235
6,1,0,7,1,2,7,120,-0.109845682174543,0.807583717958124,1.03711364306558
6,1,0,7,1,2,7,120,-0.0067684073922541,0.774140281615892,0.940052176551393
6,1,0,7,1,2,7,120,0.361991173548789,0.798691429392631,0.945236362020836
6,1,0,7,1,2,7,120,-0.0493256181032004,0.725055798193074,0.906353426876608
6,1,0,7,1,2,7,120,0.335111673371248,0.695049754438304,0.88128817903703
6,1,0,7,1,2,7,120,0.198078374623425,1.01858639363654,1.19791989617563
6,1,0,7,1,2,7,120,0.297457090332742,0.82543837996727,1.05740845259014
6,1,0,7,1,2,7,120,0.317008630945594,0.778714366277576,0.919400783644239
6,1,0,7,1,2,7,120,-0.183936083307047,0.752369860067339,0.979609988560924
6,1,0,7,1,2,7,120,0.377078253105854,0.803378369941048,0.935738419592197
6,1,0,7,1,2,7,120,0.348475834060412,0.702380528432352,0.898238710324281
6,1,0,7,1,2,7,120,0.160083407055805,0.870132496337281,1.0234260384423
6,1,0,7,1,2,7,120,0.0649469627786735,0.847504664198978,1.0745165413688
6,1,0,7,1,2,7,120,0.398801998074436,0.677323088144655,0.855739597943314
6,1,0,7,1,2,7,120,0.258098804750171,0.715779549858869,0.868641925397528
6,1,0,7,1,2,7,120,0.330393838220756,0.716001414499059,0.936455086089378
6,1,0,7,1,2,7,120,0.385576831312958,0.652773846214956,0.817365968456213
6,1,0,7,1,2,7,120,0.176407563847158,0.720875305166826,0.889904431306415
6,1,0,7,1,2,7,120,0.326419372257588,0.687605325595715,0.837711696880363
6,1,0,7,1,2,7,120,-0.12215704348566,0.967850211346295,1.13468138954664
6,1,0,7,1,2,7,120,0.364619586281448,0.678401490452151,0.829254808954637
6,1,0,7,1,2,7,120,0.203455795119735,0.758689507362563,0.911190183672559
6,1,0,7,1,2,7,120,0.385092394700437,0.746152609258882,0.961680736515756
6,1,0,7,1,2,7,120,-0.0620113094688616,0.823217739305925,1.05183433528967
6,1,0,7,1,2,7,120,0.397311412575322,0.735828419187289,0.853708299610595
6,1,0,7,1,2,7,120,0.0807584870889781,0.887279765208435,1.04386156069773
6,1,0,7,1,2,7,120,0.246450506677647,0.717993772061712,0.923258770179069
6,1,0,7,1,2,7,120,0.37927942759278,0.950019914038769,1.10792933829344
6,1,0,7,1,2,7,120,-0.18185731882617,0.709051480878803,0.909086058939277
6,1,0,7,1,2,7,120,0.110798219646468,0.760006530743901,0.915340334973775
6,1,0,7,1,2,7,120,0.245828988956272,0.766483162829989,0.908783887292964
