"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,-0.197679645843826,0.674768128290013,0.834638459895202
6,1,0,7,1,2,7,120,-0.169733211185248,0.754351974925257,0.992799507902604
6,1,0,7,1,2,7,120,-0.203333250131305,0.720991800387083,0.856788061849098
6,1,0,7,1,2,10,120,-0.0321869486356539,0.691110048555473,0.841320345025394
6,1,0,7,1,2,10,120,-0.133999285694843,0.692298558749052,0.837037363532704
6,1,0,7,1,2,10,120,-0.164833996384313,0.742314990361001,0.903622772215995
6,1,0,7,1,2,13,120,-0.0432077119730881,0.718160563271296,0.92425073274709
6,1,0,7,1,2,13,120,-0.0806935668270231,0.720877696340182,0.869795164838972
6,1,0,7,1,2,13,120,-0.0911414231718444,0.703651102370862,0.882747914968885
6,1,0,7,1,2,16,120,0.174520115069498,0.652665871845618,0.806496745252966
6,1,0,7,1,2,16,120,0.103248885529973,0.719788360510974,0.863297488973894
6,1,0,7,1,2,16,120,-0.0644747394210317,0.705513405504156,0.842285411639338
6,1,0,7,1,2,19,120,-0.0550005602702852,0.731218263008637,0.867845497632521
6,1,0,7,1,2,19,120,0.111090404929298,0.707492783736837,0.879181022714923
6,1,0,7,1,2,19,120,0.200408589129027,0.659586468566291,0.812505647351849
6,1,0,7,1,2,22,120,-0.13715237136977,0.699323897248666,0.872431486160805
6,1,0,7,1,2,22,120,0.0257107386144248,0.707468805174653,0.854879980162651
6,1,0,7,1,2,22,120,-0.0249673453970847,0.71182295121198,0.871983826681649
6,1,0,7,1,2,25,120,0.0683214236631988,0.719693740849698,0.877317861335281
6,1,0,7,1,2,25,120,0.0647862448620678,0.749009458530594,0.894781771624658
6,1,0,7,1,2,25,120,-0.026044470619295,0.693352209492899,0.872213119008789
6,1,0,7,1,2,28,120,0.0512788823894476,0.685480795655897,0.84734509045247
6,1,0,7,1,2,28,120,0.00350462856493789,0.713079245547515,0.888801362040744
6,1,0,7,1,2,28,120,0.061321515488752,0.699319267197775,0.887167270024658
6,1,0,7,1,2,31,120,-0.170377846000554,0.732811857526951,0.89776293178453
6,1,0,7,1,2,31,120,-0.14773118051563,0.704815033043309,0.863378489637269
6,1,0,7,1,2,31,120,0.0215912260007399,0.721471909636314,0.89150924016323
6,1,0,7,1,2,34,120,0.156130935481725,0.67322171688364,0.83599515482427
6,1,0,7,1,2,34,120,-0.0128468099337395,0.719770205511762,0.877691573732015
6,1,0,7,1,2,34,120,-0.0288218201985174,0.713669511581475,0.875864164681524
6,1,0,7,1,2,37,120,0.0969928538220566,0.664524792901836,0.831078851574048
6,1,0,7,1,2,37,120,-0.0257837107097217,0.716533648707564,0.866099911594876
6,1,0,7,1,2,37,120,-0.0393011231798541,0.731594814200797,0.896921106461532
6,1,0,7,1,2,40,120,-0.105662789290364,0.749887797063407,0.912094482977864
6,1,0,7,1,2,40,120,0.0177733419002276,0.698326207779213,0.865117211070228
6,1,0,7,1,2,40,120,0.0105519812473808,0.75490131555739,0.902755567817858
6,1,0,7,1,2,43,120,-0.0728367747859986,0.775735362537842,0.926850001689291
6,1,0,7,1,2,43,120,-0.0771835621467943,0.677045956997799,0.865478151181387
6,1,0,7,1,2,43,120,-0.252779814730237,0.738913403434806,0.903127769157076
6,1,0,7,1,2,46,120,-0.00970328243873186,0.714929308109251,0.883801307561624
6,1,0,7,1,2,46,120,-0.00680213907577351,0.665918304369742,0.877168761515667
6,1,0,7,1,2,46,120,0.10918099617683,0.685166818050196,0.878408091373083
6,1,0,7,1,2,49,120,-0.0233500624156576,0.719523687864766,0.884468833197897
6,1,0,7,1,2,49,120,-0.0955922459430246,0.709158565663961,0.87463899200793
6,1,0,7,1,2,49,120,-0.177562328856433,0.718527608035527,0.886987389378524
6,1,0,7,1,2,52,120,-0.0577559177199571,0.732895326039465,0.908912933501714
6,1,0,7,1,2,52,120,0.0782643347948338,0.693540171763443,0.895086998982571
6,1,0,7,1,2,52,120,-0.0639836544650906,0.709859567545419,0.87655808775943
6,1,0,7,1,2,55,120,-0.00781959670167741,0.701234688630699,0.874680246423314
6,1,0,7,1,2,55,120,-0.205700634549342,0.733768644646837,0.914048875126513
6,1,0,7,1,2,55,120,-0.0217251439310471,0.714530767800728,0.863605184006021
6,1,0,7,1,2,58,120,-0.156531343826673,0.718257724544627,0.876520246313493
6,1,0,7,1,2,58,120,0.0104281537694078,0.711125667666634,0.873922110345131
6,1,0,7,1,2,58,120,-0.0637923444233314,0.719370108136998,0.877922672153816
6,1,0,7,1,2,61,120,0.0403104596867125,0.704854452609898,0.871210214703523
