"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,0.0254338099933943,0.683011943813467,1.08986268279897
6,1,0,7,1,2,7,120,0.114137238716752,0.841569125769574,0.924631407761982
6,1,0,7,1,2,7,120,-0.105703268344985,0.809568946912214,0.895829906004117
6,1,0,7,1,2,10,120,0.0341643929017902,0.833727476668512,0.929922015441934
6,1,0,7,1,2,10,120,0.147126240763315,0.769901632866312,0.846562772325508
6,1,0,7,1,2,10,120,-0.0698624180768843,0.815220246615441,0.896978509847341
6,1,0,7,1,2,13,120,-0.0578299843578227,0.763353691838263,0.879218876589528
6,1,0,7,1,2,13,120,-0.10113534325188,0.764780812694265,0.892260329519268
6,1,0,7,1,2,13,120,0.120301026871797,0.729769490606845,0.884038358510963
6,1,0,7,1,2,16,120,0.185309070525691,0.881685888178695,0.989641069068789
6,1,0,7,1,2,16,120,0.0565581524872426,0.769882613377795,0.872307825133865
6,1,0,7,1,2,16,120,0.109374660474291,0.757724538864775,0.848331502435271
6,1,0,7,1,2,19,120,0.21420968855901,0.785116432789392,0.886318810573529
6,1,0,7,1,2,19,120,-0.10703282151088,0.761626747663714,0.924646188099749
6,1,0,7,1,2,19,120,0.152592915174966,0.761719395997675,0.865734592076041
6,1,0,7,1,2,22,120,0.00571266004521978,0.803347917729447,0.903614100503441
6,1,0,7,1,2,22,120,0.200701015647574,0.766313225524295,0.869447252182244
6,1,0,7,1,2,22,120,-0.0290486729893472,0.800371956941811,0.896580945997706
6,1,0,7,1,2,25,120,-0.00376912860427532,0.804290130768581,0.918919276518566
6,1,0,7,1,2,25,120,0.128427081557692,0.881061555327857,0.996869839188934
6,1,0,7,1,2,25,120,0.114266477525825,0.775607086437311,0.88863443950101
6,1,0,7,1,2,28,120,0.251596636343117,0.759047371431295,0.852000698904792
6,1,0,7,1,2,28,120,0.149063597323912,0.831194245745397,0.948130385292951
6,1,0,7,1,2,28,120,0.243640125898968,0.84172664496063,0.948210898382115
6,1,0,7,1,2,31,120,0.155474189559911,0.743537556210351,0.857219900840714
6,1,0,7,1,2,31,120,0.124374627279074,0.807223844558417,0.893199920830438
6,1,0,7,1,2,31,120,0.154807045733931,0.78188526109041,0.874263921308727
6,1,0,7,1,2,34,120,-0.00450967407275547,0.769511450492878,0.885259014421224
6,1,0,7,1,2,34,120,0.193003320198481,0.747793917977408,0.867930979727156
6,1,0,7,1,2,34,120,0.0990631104892649,0.847708258680129,0.942790930304867
6,1,0,7,1,2,37,120,0.230901044086516,0.760102807749505,0.86150109167881
6,1,0,7,1,2,37,120,0.185754772332785,0.787521680437524,0.889045488233243
6,1,0,7,1,2,37,120,0.11372573662507,0.750880174406961,0.860702688398402
6,1,0,7,1,2,40,120,0.181225750266773,0.840047845291367,0.990842624472735
6,1,0,7,1,2,40,120,0.0898178084698632,0.778709707112425,0.895483995303085
6,1,0,7,1,2,40,120,0.24466539495101,0.707695342904412,0.837293289954211
6,1,0,7,1,2,43,120,0.14295358687644,0.750223811631255,0.858526838524171
