"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,0.264815652842451,0.740423801810297,0.876442640921697
6,1,0,7,1,2,7,120,0.145275838351264,0.746720589873398,0.859368833373883
6,1,0,7,1,2,7,120,-0.163222736652561,0.784061676396346,0.952352082900068
6,1,0,7,1,2,10,120,-0.103740528788733,0.751690029385351,0.888399172611763
6,1,0,7,1,2,10,120,-0.0872352802978593,0.737598697647004,0.872926678400676
6,1,0,7,1,2,10,120,-0.151816147272096,0.772265649936683,0.924703373488681
6,1,0,7,1,2,13,120,0.27325441637409,0.712825458275236,0.837898891809651
6,1,0,7,1,2,13,120,-0.0998458592183093,0.762867772677261,0.916943243162188
6,1,0,7,1,2,13,120,0.253628729045055,0.728249488292213,0.84887498154046
6,1,0,7,1,2,16,120,0.245752026679929,0.725951284581146,0.852468628657771
6,1,0,7,1,2,16,120,0.330978136096256,0.701176015722877,0.815345691796412
6,1,0,7,1,2,16,120,0.253099874051472,0.733554649213446,0.846583678321288
6,1,0,7,1,2,19,120,0.187199744918249,0.708771261983787,0.855908343267742
6,1,0,7,1,2,19,120,0.0117866973436418,0.754568792633336,0.919460336772908
6,1,0,7,1,2,19,120,-0.0639109193749933,0.763597126094602,0.9050055956417
6,1,0,7,1,2,22,120,0.134390808568137,0.747021322787381,0.876127523740242
6,1,0,7,1,2,22,120,0.243446401511366,0.757395620811743,0.884536590934343
6,1,0,7,1,2,22,120,-0.159863131913601,0.77818612931337,0.937135559243005
6,1,0,7,1,2,25,120,0.0884772556186019,0.732083818206018,0.875246203507598
6,1,0,7,1,2,25,120,-0.14272580193396,0.776173949261351,0.925630548342306
6,1,0,7,1,2,25,120,0.0761955575067315,0.74067528093846,0.886851659711873
6,1,0,7,1,2,28,120,-0.0550832015619003,0.807799256306354,0.997306751448461
6,1,0,7,1,2,28,120,-0.0105048744588078,0.766165265298886,0.908383989065911
6,1,0,7,1,2,28,120,0.242382909764007,0.722966968021383,0.859450819575948
6,1,0,7,1,2,31,120,0.015658146944986,0.751650211933042,0.895263265334814
6,1,0,7,1,2,31,120,0.299310851460758,0.705499142008886,0.824504903713068
6,1,0,7,1,2,31,120,0.0467365794859529,0.741886778685592,0.888478836211972
6,1,0,7,1,2,34,120,-0.011534979735529,0.792164361012263,0.959736552751292
6,1,0,7,1,2,34,120,-0.182012787355208,0.801971869659475,1.00818221172884
6,1,0,7,1,2,34,120,0.222595256563357,0.725056725185058,0.848292302193882
6,1,0,7,1,2,37,120,0.244804816423921,0.703941528060654,0.843054173978517
6,1,0,7,1,2,37,120,-0.185215022996987,0.771527838353521,0.95018807652649
6,1,0,7,1,2,37,120,-0.0039139580333619,0.754456652476111,0.928978514159041
6,1,0,7,1,2,40,120,0.161038646547907,0.730448416511717,0.875721621425462
6,1,0,7,1,2,40,120,0.0690291392917553,0.775500832641781,0.921576113831997
6,1,0,7,1,2,40,120,-0.0943993095922973,0.793485382877751,0.946183127729414
6,1,0,7,1,2,43,120,0.222425964860415,0.733293294247367,0.906413074779088
6,1,0,7,1,2,43,120,-0.0371355139234142,0.758290730970829,0.913202323482222
6,1,0,7,1,2,43,120,0.222916069974341,0.756402964671597,0.901485131063606
6,1,0,7,1,2,46,120,0.288914327654824,0.693895487474169,0.829861743474322
6,1,0,7,1,2,46,120,0.204491603546304,0.714965203676402,0.858388676387365
6,1,0,7,1,2,46,120,0.163072443854935,0.738750817967447,0.868573647965098
6,1,0,7,1,2,49,120,0.123307399178936,0.742507166547796,0.887293408433009
6,1,0,7,1,2,49,120,-0.0359704196047303,0.760313682593254,0.914360738818461
6,1,0,7,1,2,49,120,0.307970033509777,0.701553521923933,0.857554409280114
6,1,0,7,1,2,52,120,0.0358833792588501,0.757413056612077,0.89987743166777
6,1,0,7,1,2,52,120,0.17435522214043,0.737741297048421,0.900962631331539
6,1,0,7,1,2,52,120,0.171960371887457,0.726564493909391,0.863330159516206
6,1,0,7,1,2,55,120,0.133980541887846,0.729631517503496,0.881858356693691
6,1,0,7,1,2,55,120,0.198462759806293,0.735879680677355,0.879736061900682
6,1,0,7,1,2,55,120,0.0263217824901084,0.727589423976361,0.900135335598875
6,1,0,7,1,2,58,120,0.175620497766727,0.728523485395491,0.880798550578969
6,1,0,7,1,2,58,120,0.165885288901497,0.734690397928189,0.863467040012833
6,1,0,7,1,2,58,120,0.298188215880866,0.693229710544674,0.842003859575575
6,1,0,7,1,2,61,120,0.326390906635678,0.715036271097779,0.841470154353843
6,1,0,7,1,2,61,120,0.280806714918698,0.713878015636002,0.838553080172897
6,1,0,7,1,2,61,120,0.0956035947352821,0.763903008260216,0.8949836650722
6,1,0,7,1,2,64,120,0.0100580651472871,0.747447332936938,0.90000118636031
6,1,0,7,1,2,64,120,0.124421057421619,0.730843280437382,0.902991035212086
6,1,0,7,1,2,64,120,0.321767761699165,0.709802999382054,0.891816598578357
6,1,0,7,1,2,67,120,0.0360149655507483,0.777004578409192,0.926174364244085
6,1,0,7,1,2,67,120,0.224023080727382,0.722454056074455,0.856590890341548
6,1,0,7,1,2,67,120,0.290450153169334,0.708397992025643,0.830688605749164
6,1,0,7,1,2,70,120,0.299524125548399,0.691283379810638,0.834733192193422
6,1,0,7,1,2,70,120,0.285781446948959,0.710256555732036,0.832665033274304
6,1,0,7,1,2,70,120,0.30178287246325,0.680675215638877,0.826450678554509
6,1,0,7,1,2,73,120,0.249992492150515,0.699724049134247,0.843368500638768
6,1,0,7,1,2,73,120,0.0741869723887944,0.741999427645833,0.898055852904903
6,1,0,7,1,2,73,120,0.240931038605056,0.714819847631469,0.846117880766916
6,1,0,7,1,2,76,120,0.324715607047866,0.699072280381877,0.867128323506582
6,1,0,7,1,2,76,120,0.278231091753573,0.712384659137548,0.851799209303795
6,1,0,7,1,2,76,120,0.204130654416302,0.717080407498903,0.857926606528612
6,1,0,7,1,2,79,120,0.214226544665414,0.703277889127254,0.860296833717669
6,1,0,7,1,2,79,120,0.31362637123333,0.694209295707539,0.844967952286207
6,1,0,7,1,2,79,120,0.364301584913442,0.688070156419605,0.827083519573627
6,1,0,7,1,2,82,120,0.227679878704036,0.707753654924454,0.862158307003071
6,1,0,7,1,2,82,120,0.17800793069804,0.71740798625475,0.86650673489834
6,1,0,7,1,2,82,120,0.200796012433384,0.704173657449496,0.847840752424555
6,1,0,7,1,2,85,120,0.281781269221425,0.704780980895102,0.861914832180499
6,1,0,7,1,2,85,120,0.333953392880751,0.672924439734295,0.819472009201831
6,1,0,7,1,2,85,120,0.223525867761045,0.709457599910221,0.853129724220127
6,1,0,7,1,2,88,120,0.235649656551598,0.699414214881382,0.842273309511367
6,1,0,7,1,2,88,120,0.295410126533683,0.700312508374165,0.842609368168942
6,1,0,7,1,2,88,120,0.338621092737378,0.684062838792428,0.831234288353677
6,1,0,7,1,2,91,120,0.327991039550702,0.6955199576287,0.824118883952812
6,1,0,7,1,2,91,120,0.314743100111423,0.687944519107797,0.823343145955613
6,1,0,7,1,2,91,120,0.331945722151587,0.687040637288559,0.815475641214321
6,1,0,7,1,2,94,120,0.312359126522673,0.692013729364096,0.825698750145395
6,1,0,7,1,2,94,120,0.344189794682069,0.683778988088701,0.81811659440826
