"","c_Ph","c_Ro","c_Zo","c_Mp","c_Det","c_Herb","c_PP","c_PB","c_PS","c_Moll"
"e_Ph",NA,0.000999000999000999,NA,NA,0.0739260739260739,NA,0.018981018981019,0.011988011988012,NA,NA
"e_Ro",0.002997002997003,NA,0.013986013986014,NA,NA,0.00899100899100899,0.004995004995005,0.00799200799200799,NA,0.00699300699300699
"e_Zo",NA,0.001998001998002,NA,0.170829170829171,NA,0.001998001998002,0.014985014985015,0.0639360639360639,0.01998001998002,NA
"e_Mp",0.000999000999000999,0.001998001998002,0.022977022977023,NA,0.000999000999000999,0.000999000999000999,0.035964035964036,0.000999000999000999,0.000999000999000999,0.041958041958042
"e_Det",0.00699300699300699,0.0949050949050949,0.183816183816184,0.003996003996004,NA,0.0619380619380619,NA,NA,NA,NA
"e_Herb",0.030969030969031,NA,NA,0.003996003996004,0.00799200799200799,NA,0.002997002997003,0.000999000999000999,NA,0.126873126873127
"e_PP",NA,0.010989010989011,0.184815184815185,NA,NA,NA,NA,NA,NA,NA
"e_PB",NA,NA,NA,NA,NA,0.127872127872128,NA,NA,NA,NA
"e_PS",NA,0.102897102897103,0.304695304695305,0.000999000999000999,NA,NA,NA,0.0939060939060939,NA,NA
"e_Moll",0.000999000999000999,0.000999000999000999,0.0909090909090909,0.112887112887113,0.187812187812188,0.03996003996004,0.014985014985015,0.001998001998002,0.004995004995005,NA
