"","c_Ph","c_Ro","c_Zo","c_Mp","c_Det","c_Herb","c_PP","c_PB","c_PS","c_Moll"
"e_Ph",NA,0.276675031916743,0.0642044567355111,-0.127651223065536,0.157960500570112,-0.0382932433822854,0.129492085971267,0.126064007650993,0.0132558969875095,0.0659033262538903
"e_Ro",0.186664412106684,NA,0.215964635055095,-0.151448905224232,0.00560425758723104,0.165823900439795,0.232028103783208,0.220887538380517,0.00207321269260647,0.244576082552383
"e_Zo",-0.108004317375878,0.29453243239197,NA,0.171634022229839,0.0754652850346898,0.248647686199158,0.222237901486477,0.193600907124297,0.236118614599057,-0.0537530602346764
"e_Mp",0.347197969949882,0.282456765219734,0.25194732611414,NA,0.212396435850967,0.265491179460923,0.146024987149776,0.312565875277875,0.211361280338298,0.123517008110168
"e_Det",0.215284897811204,0.102042015923994,0.157468424942416,0.141898320187659,NA,0.127968313260992,-0.11862901747605,0.0794009447259336,0.0722793405014728,0.0138855054745497
"e_Herb",0.140631346945136,0.0326644769207398,0.0830451395630719,0.20412508120105,0.208494641640744,NA,0.161819325804139,0.332541153510147,0.0427944317073389,0.158617067559099
"e_PP",-0.0111170441337371,0.207879174157542,0.173737336306479,-0.0779035393812559,0.031497116573413,0.0149675306929173,NA,0.0484787153316772,0.0262754215470669,0.0231193772347365
"e_PB",0.0127172510497741,0.02614295071029,0.0127372724260162,0.00277415397343207,-0.0180870857827979,0.117121454153801,-0.00346916320183988,NA,-0.125176463900277,0.0484748886517899
"e_PS",0.0953252436871076,0.124099426798444,0.110921991154333,0.159159916535303,0.0307438645038844,0.063355091135981,0.0623319367061501,0.138887859539022,NA,-0.0356770916035164
"e_Moll",0.110603212504651,0.182409422429876,0.112922553801339,0.10356362742277,0.107501608054783,0.132067560963153,0.166403752929256,0.173070697894694,0.266374386522301,NA
