"Recipient","Year","Treatment_Cont","Abundance_response_nRR_0.1","abs_Abundance_response_nRR_0.1"
"Phytopla1","2017","Fipro_Cont",0.162041855327952,0.162041855327952
"Phytopla1","2018","Fipro_Cont",0.0631251052141935,0.0631251052141935
"Phytopla1","2019","Fipro_Cont",2.72402930858356,2.72402930858356
"Roti1","2017","Fipro_Cont",0.319575436227735,0.319575436227735
"Roti1","2018","Fipro_Cont",-0.546662238935031,0.546662238935031
"Roti1","2019","Fipro_Cont",-0.631271776841858,0.631271776841858
"Zoopla1","2017","Fipro_Cont",0.410849646460119,0.410849646460119
"Zoopla1","2018","Fipro_Cont",-0.0986993752910441,0.0986993752910441
"Zoopla1","2019","Fipro_Cont",0.616270702444458,0.616270702444458
"Mp1","2017","Fipro_Cont",0.198785729430833,0.198785729430833
"Mp1","2018","Fipro_Cont",0.0908802976681472,0.0908802976681472
"Mp1","2019","Fipro_Cont",-0.136244079426292,0.136244079426292
"Det1","2017","Fipro_Cont",-0.75159077643002,0.75159077643002
"Det1","2018","Fipro_Cont",-0.349375641457121,0.349375641457121
"Det1","2019","Fipro_Cont",-0.397244274963307,0.397244274963307
"Herb1","2017","Fipro_Cont",-0.567984037605939,0.567984037605939
"Herb1","2018","Fipro_Cont",-0.140357357694922,0.140357357694922
"Herb1","2019","Fipro_Cont",-0.27115277050057,0.27115277050057
"Pred.P1","2017","Fipro_Cont",-2.67906266422896,2.67906266422896
"Pred.P1","2018","Fipro_Cont",-2.30258509299405,2.30258509299405
"Pred.P1","2019","Fipro_Cont",-0.350202429433115,0.350202429433115
"Pred.B1","2017","Fipro_Cont",-2.371577964481,2.371577964481
"Pred.B1","2018","Fipro_Cont",-4.51633897228148,4.51633897228148
"Pred.B1","2019","Fipro_Cont",-1.91590789875151,1.91590789875151
"Pred.S1","2017","Fipro_Cont",0.946596081369484,0.946596081369484
"Pred.S1","2018","Fipro_Cont",1.1314021114911,1.1314021114911
"Pred.S1","2019","Fipro_Cont",0.0483185772708077,0.0483185772708077
"Moll1","2017","Fipro_Cont",-4.15103990589865,4.15103990589865
"Moll1","2018","Fipro_Cont",2.36320971481048,2.36320971481048
"Moll1","2019","Fipro_Cont",0.778140393393338,0.778140393393338
"Phytopla1","2017","Pent_Cont",1.34089778548373,1.34089778548373
"Phytopla1","2018","Pent_Cont",0.114612258682561,0.114612258682561
"Phytopla1","2019","Pent_Cont",-1.05358860729415,1.05358860729415
"Roti1","2017","Pent_Cont",0.313277619640745,0.313277619640745
"Roti1","2018","Pent_Cont",-0.728983795728986,0.728983795728986
"Roti1","2019","Pent_Cont",-0.0889474860164961,0.0889474860164961
"Zoopla1","2017","Pent_Cont",0.594337928389341,0.594337928389341
"Zoopla1","2018","Pent_Cont",0.293538947575247,0.293538947575247
"Zoopla1","2019","Pent_Cont",0.183026030229218,0.183026030229218
"Mp1","2017","Pent_Cont",-0.271579067828061,0.271579067828061
"Mp1","2018","Pent_Cont",-0.570708483406012,0.570708483406012
"Mp1","2019","Pent_Cont",-0.344860127514322,0.344860127514322
"Det1","2017","Pent_Cont",-0.00657176516323461,0.00657176516323461
"Det1","2018","Pent_Cont",1.04145387482816,1.04145387482816
"Det1","2019","Pent_Cont",-0.0607720383420943,0.0607720383420943
"Herb1","2017","Pent_Cont",0.262364264467491,0.262364264467491
"Herb1","2018","Pent_Cont",-1.21194097397511,1.21194097397511
"Herb1","2019","Pent_Cont",-0.668454567969574,0.668454567969574
"Pred.P1","2017","Pent_Cont",-0.774825211574212,0.774825211574212
"Pred.P1","2018","Pent_Cont",-1.38629436111989,1.38629436111989
"Pred.P1","2019","Pent_Cont",-0.146603474191875,0.146603474191875
"Pred.B1","2017","Pent_Cont",0.776262087270452,0.776262087270452
"Pred.B1","2018","Pent_Cont",0.0838186718830713,0.0838186718830713
"Pred.B1","2019","Pent_Cont",-0.521029793940232,0.521029793940232
"Pred.S1","2017","Pent_Cont",0,0
"Pred.S1","2018","Pent_Cont",0.125163142954006,0.125163142954006
"Pred.S1","2019","Pent_Cont",-0.80845802707094,0.80845802707094
"Moll1","2017","Pent_Cont",-3.74557479779048,3.74557479779048
"Moll1","2018","Pent_Cont",0.388657989791783,0.388657989791783
"Moll1","2019","Pent_Cont",-0.189443632868368,0.189443632868368
"Phytopla1","2017","Joint_Cont",-0.54574052100947,0.54574052100947
"Phytopla1","2018","Joint_Cont",-1.81332991463726,1.81332991463726
"Phytopla1","2019","Joint_Cont",5.38177604488559,5.38177604488559
"Roti1","2017","Joint_Cont",0.467686131105373,0.467686131105373
"Roti1","2018","Joint_Cont",-0.855589420000548,0.855589420000548
"Roti1","2019","Joint_Cont",-0.0434851119397387,0.0434851119397387
"Zoopla1","2017","Joint_Cont",-0.308939278261301,0.308939278261301
"Zoopla1","2018","Joint_Cont",-0.270290329739912,0.270290329739912
"Zoopla1","2019","Joint_Cont",0.492476485097794,0.492476485097794
"Mp1","2017","Joint_Cont",-0.511916249457449,0.511916249457449
"Mp1","2018","Joint_Cont",-0.934055289823476,0.934055289823476
"Mp1","2019","Joint_Cont",-0.526305383950912,0.526305383950912
"Det1","2017","Joint_Cont",0.217011250012146,0.217011250012146
"Det1","2018","Joint_Cont",0.399034217777874,0.399034217777874
