"Week","Year_Tank","Abundance","scAbundance","Recipient"
2,"2017_Cont1",799,0.706057344683689,"Phytopla1"
4,"2017_Cont1",86,-0.117561424746591,"Phytopla1"
6,"2017_Cont1",1873,1.02204354684969,"Phytopla1"
8,"2017_Cont1",187,0.168473237100971,"Phytopla1"
10,"2017_Cont1",127,0.0257733788932644,"Phytopla1"
12,"2017_Cont1",305,0.349308672330124,"Phytopla1"
14,"2017_Cont1",1001,0.789633541558639,"Phytopla1"
16,"2017_Cont1",3170,1.21729281519741,"Phytopla1"
18,"2017_Cont1",613,0.607827296331801,"Phytopla1"
20,"2017_Cont1",3860,1.29037757589529,"Phytopla1"
NA,"2017_Cont1",NA,NA,"Phytopla1"
2,"2017_Cont2",539,0.560153560402884,"Phytopla1"
4,"2017_Cont2",30,-0.50062720695603,"Phytopla1"
6,"2017_Cont2",166,0.124503362310895,"Phytopla1"
8,"2017_Cont2",710,0.662276364213755,"Phytopla1"
10,"2017_Cont2",68,-0.203609943956755,"Phytopla1"
12,"2017_Cont2",51,-0.308613198465176,"Phytopla1"
14,"2017_Cont2",457,0.49901426533118,"Phytopla1"
16,"2017_Cont2",1149,0.840773750659539,"Phytopla1"
18,"2017_Cont2",1278,0.880240189807329,"Phytopla1"
20,"2017_Cont2",2084,1.06164996837257,"Phytopla1"
NA,"2017_Cont2",NA,NA,"Phytopla1"
2,"2017_Fipro1",5644,1.43138182286877,"Phytopla1"
4,"2017_Fipro1",43,-0.370626384489498,"Phytopla1"
6,"2017_Fipro1",23,-0.59563382695101,"Phytopla1"
8,"2017_Fipro1",121,0.00795157796999352,"Phytopla1"
10,"2017_Fipro1",0,-1.77537896023556,"Phytopla1"
12,"2017_Fipro1",11,-0.852941303969413,"Phytopla1"
14,"2017_Fipro1",23,-0.59563382695101,"Phytopla1"
16,"2017_Fipro1",751,0.683088191137778,"Phytopla1"
18,"2017_Fipro1",275,0.311005010080051,"Phytopla1"
20,"2017_Fipro1",1362,0.903853116323793,"Phytopla1"
NA,"2017_Fipro1",NA,NA,"Phytopla1"
2,"2017_Fipro2",9781,1.63546676218011,"Phytopla1"
4,"2017_Fipro2",444,0.488325130643749,"Phytopla1"
6,"2017_Fipro2",79,-0.148699592248331,"Phytopla1"
8,"2017_Fipro2",907,0.753065438828275,"Phytopla1"
10,"2017_Fipro2",25,-0.56592067548358,"Phytopla1"
12,"2017_Fipro2",60,-0.24935589904841,"Phytopla1"
14,"2017_Fipro2",330,0.378461497319728,"Phytopla1"
16,"2017_Fipro2",1449,0.926822269869704,"Phytopla1"
18,"2017_Fipro2",214,0.218288993344338,"Phytopla1"
20,"2017_Fipro2",275,0.311005010080051,"Phytopla1"
NA,"2017_Fipro2",NA,NA,"Phytopla1"
2,"2017_Pent1",71,-0.187811124721669,"Phytopla1"
4,"2017_Pent1",113,-0.0172252699465869,"Phytopla1"
6,"2017_Pent1",9,-0.920622023303541,"Phytopla1"
8,"2017_Pent1",58,-0.261730919004417,"Phytopla1"
10,"2017_Pent1",3323,1.23478522195454,"Phytopla1"
12,"2017_Pent1",115,-0.0107691729391243,"Phytopla1"
14,"2017_Pent1",250,0.275758799573831,"Phytopla1"
16,"2017_Pent1",1952,1.03737160959249,"Phytopla1"
18,"2017_Pent1",3249,1.22642770425727,"Phytopla1"
20,"2017_Pent1",1611,0.966138554814354,"Phytopla1"
NA,"2017_Pent1",NA,NA,"Phytopla1"
2,"2017_Pent2",29,-0.512799321074201,"Phytopla1"
4,"2017_Pent2",8376,1.57790816253717,"Phytopla1"
6,"2017_Pent2",292,0.333193250755097,"Phytopla1"
8,"2017_Pent2",2468,1.12440197507193,"Phytopla1"
10,"2017_Pent2",2695,1.15705266258622,"Phytopla1"
12,"2017_Pent2",1191,0.854089508990451,"Phytopla1"
14,"2017_Pent2",24555,1.97713872370882,"Phytopla1"
16,"2017_Pent2",14289,1.77616366049963,"Phytopla1"
18,"2017_Pent2",5408,1.41552867603076,"Phytopla1"
20,"2017_Pent2",870,0.737621952463316,"Phytopla1"
NA,"2017_Pent2",NA,NA,"Phytopla1"
2,"2017_Joint1",1463,0.930389234236141,"Phytopla1"
4,"2017_Joint1",26,-0.55191085354754,"Phytopla1"
6,"2017_Joint1",2219,1.08493945809922,"Phytopla1"
8,"2017_Joint1",5558,1.42568292568624,"Phytopla1"
10,"2017_Joint1",548,0.566289505410271,"Phytopla1"
12,"2017_Joint1",161,0.113219325700204,"Phytopla1"
