"Treatment","Tank","Week","Year","r_d","smap_coef","Recipient","Donor"
"Cont","Cont1",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Cont","Cont1",4,2017,"c_1",-1.13939643831316,"Phytopla1","Phytopla1"
"Cont","Cont1",6,2017,"c_1",-1.12789311162594,"Phytopla1","Phytopla1"
"Cont","Cont1",8,2017,"c_1",-1.10150766209651,"Phytopla1","Phytopla1"
"Cont","Cont1",10,2017,"c_1",-1.13454530481518,"Phytopla1","Phytopla1"
"Cont","Cont1",12,2017,"c_1",-1.15438822809403,"Phytopla1","Phytopla1"
"Cont","Cont1",14,2017,"c_1",-1.21416046030915,"Phytopla1","Phytopla1"
"Cont","Cont1",16,2017,"c_1",-1.19419415850558,"Phytopla1","Phytopla1"
"Cont","Cont1",18,2017,"c_1",-1.14625485472184,"Phytopla1","Phytopla1"
"Cont","Cont1",20,2017,"c_1",-1.20896797148542,"Phytopla1","Phytopla1"
"Cont","Cont2",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Cont","Cont2",4,2017,"c_1",-1.05485870291351,"Phytopla1","Phytopla1"
"Cont","Cont2",6,2017,"c_1",-1.11532774727927,"Phytopla1","Phytopla1"
"Cont","Cont2",8,2017,"c_1",-1.19719287812709,"Phytopla1","Phytopla1"
"Cont","Cont2",10,2017,"c_1",-1.10488329733531,"Phytopla1","Phytopla1"
"Cont","Cont2",12,2017,"c_1",-1.066848546836,"Phytopla1","Phytopla1"
"Cont","Cont2",14,2017,"c_1",-1.17621561256657,"Phytopla1","Phytopla1"
"Cont","Cont2",16,2017,"c_1",-1.20159588918331,"Phytopla1","Phytopla1"
"Cont","Cont2",18,2017,"c_1",-1.19244808745013,"Phytopla1","Phytopla1"
"Cont","Cont2",20,2017,"c_1",-1.19760873129982,"Phytopla1","Phytopla1"
"Fipro","Fipro1",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Fipro","Fipro1",4,2017,"c_1",-1.15820998428463,"Phytopla1","Phytopla1"
"Fipro","Fipro1",6,2017,"c_1",-1.06509274951804,"Phytopla1","Phytopla1"
"Fipro","Fipro1",8,2017,"c_1",-1.20626024819338,"Phytopla1","Phytopla1"
"Fipro","Fipro1",10,2017,"c_1",-1.0008358574216,"Phytopla1","Phytopla1"
"Fipro","Fipro1",12,2017,"c_1",-1.06140693060661,"Phytopla1","Phytopla1"
"Fipro","Fipro1",14,2017,"c_1",-1.06680457403295,"Phytopla1","Phytopla1"
"Fipro","Fipro1",16,2017,"c_1",-1.11944154398291,"Phytopla1","Phytopla1"
"Fipro","Fipro1",18,2017,"c_1",-1.12532657128097,"Phytopla1","Phytopla1"
"Fipro","Fipro1",20,2017,"c_1",-1.15700742884519,"Phytopla1","Phytopla1"
"Fipro","Fipro2",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Fipro","Fipro2",4,2017,"c_1",-1.17571119484318,"Phytopla1","Phytopla1"
"Fipro","Fipro2",6,2017,"c_1",-1.15413532748546,"Phytopla1","Phytopla1"
"Fipro","Fipro2",8,2017,"c_1",-1.11371389421822,"Phytopla1","Phytopla1"
"Fipro","Fipro2",10,2017,"c_1",-1.10255934721493,"Phytopla1","Phytopla1"
"Fipro","Fipro2",12,2017,"c_1",-1.08896668733389,"Phytopla1","Phytopla1"
"Fipro","Fipro2",14,2017,"c_1",-1.17893266903956,"Phytopla1","Phytopla1"
"Fipro","Fipro2",16,2017,"c_1",-1.10882371252341,"Phytopla1","Phytopla1"
"Fipro","Fipro2",18,2017,"c_1",-1.15963365914571,"Phytopla1","Phytopla1"
"Fipro","Fipro2",20,2017,"c_1",-1.16264556447352,"Phytopla1","Phytopla1"
"Pent","Pent1",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Pent","Pent1",4,2017,"c_1",-1.10829519534733,"Phytopla1","Phytopla1"
"Pent","Pent1",6,2017,"c_1",-1.09199943831926,"Phytopla1","Phytopla1"
"Pent","Pent1",8,2017,"c_1",-1.09349060809488,"Phytopla1","Phytopla1"
"Pent","Pent1",10,2017,"c_1",-1.09396134041097,"Phytopla1","Phytopla1"
"Pent","Pent1",12,2017,"c_1",-1.07336134567717,"Phytopla1","Phytopla1"
"Pent","Pent1",14,2017,"c_1",-1.15008236653121,"Phytopla1","Phytopla1"
"Pent","Pent1",16,2017,"c_1",-1.20908588800873,"Phytopla1","Phytopla1"
"Pent","Pent1",18,2017,"c_1",-1.24502599517352,"Phytopla1","Phytopla1"
"Pent","Pent1",20,2017,"c_1",-1.20080813733454,"Phytopla1","Phytopla1"
"Pent","Pent2",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Pent","Pent2",4,2017,"c_1",-1.10856627075946,"Phytopla1","Phytopla1"
"Pent","Pent2",6,2017,"c_1",-1.09353342639839,"Phytopla1","Phytopla1"
"Pent","Pent2",8,2017,"c_1",-1.13631771895248,"Phytopla1","Phytopla1"
"Pent","Pent2",10,2017,"c_1",-1.16309826549542,"Phytopla1","Phytopla1"
"Pent","Pent2",12,2017,"c_1",-1.17108017062862,"Phytopla1","Phytopla1"
"Pent","Pent2",14,2017,"c_1",-1.24521617752546,"Phytopla1","Phytopla1"
"Pent","Pent2",16,2017,"c_1",-1.21588587462668,"Phytopla1","Phytopla1"
"Pent","Pent2",18,2017,"c_1",-1.16647812126128,"Phytopla1","Phytopla1"
"Pent","Pent2",20,2017,"c_1",-1.1207811898865,"Phytopla1","Phytopla1"
"Joint","Joint1",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Joint","Joint1",4,2017,"c_1",-1.00951913704425,"Phytopla1","Phytopla1"
"Joint","Joint1",6,2017,"c_1",-1.24135794005068,"Phytopla1","Phytopla1"
"Joint","Joint1",8,2017,"c_1",-1.12051358639761,"Phytopla1","Phytopla1"
"Joint","Joint1",10,2017,"c_1",-1.17016685555334,"Phytopla1","Phytopla1"
"Joint","Joint1",12,2017,"c_1",-1.15345499067301,"Phytopla1","Phytopla1"
"Joint","Joint1",14,2017,"c_1",-1.1494449613302,"Phytopla1","Phytopla1"
"Joint","Joint1",16,2017,"c_1",-1.07304193798708,"Phytopla1","Phytopla1"
"Joint","Joint1",18,2017,"c_1",-1.01293482960797,"Phytopla1","Phytopla1"
"Joint","Joint1",20,2017,"c_1",-1.06662463841905,"Phytopla1","Phytopla1"
"Joint","Joint2",2,2017,"c_1",NA,"Phytopla1","Phytopla1"
"Joint","Joint2",4,2017,"c_1",-1.14143931431116,"Phytopla1","Phytopla1"
"Joint","Joint2",6,2017,"c_1",-1.07858369572522,"Phytopla1","Phytopla1"
"Joint","Joint2",8,2017,"c_1",-1.08940031856948,"Phytopla1","Phytopla1"
"Joint","Joint2",10,2017,"c_1",-1.1265711510973,"Phytopla1","Phytopla1"
"Joint","Joint2",12,2017,"c_1",-1.04596995620364,"Phytopla1","Phytopla1"
"Joint","Joint2",14,2017,"c_1",-1.08172540761028,"Phytopla1","Phytopla1"
"Joint","Joint2",16,2017,"c_1",-1.10230522606496,"Phytopla1","Phytopla1"
"Joint","Joint2",18,2017,"c_1",-1.07934552159372,"Phytopla1","Phytopla1"
"Joint","Joint2",20,2017,"c_1",-1.17656661244482,"Phytopla1","Phytopla1"
"Cont","Cont1",2,2018,"c_1",NA,"Phytopla1","Phytopla1"
"Cont","Cont1",4,2018,"c_1",-1.13118924965165,"Phytopla1","Phytopla1"
"Cont","Cont1",6,2018,"c_1",-1.17875938302384,"Phytopla1","Phytopla1"
"Cont","Cont1",8,2018,"c_1",-1.18638789267764,"Phytopla1","Phytopla1"
"Cont","Cont1",10,2018,"c_1",-1.10964812416989,"Phytopla1","Phytopla1"
"Cont","Cont1",12,2018,"c_1",-1.1254076480218,"Phytopla1","Phytopla1"
"Cont","Cont1",14,2018,"c_1",-1.03414127261613,"Phytopla1","Phytopla1"
