Week,Tank,Conc,Week2
0,Fipro1,11.769,0
0,Fipro2,2.083,0
0.142857143,Fipro1,13.826,0.142857143
0.142857143,Fipro2,3.221,0.142857143
0.285714286,Fipro1,10.023,0.285714286
0.285714286,Fipro2,5.034,0.285714286
0.571428571,Fipro1,3.506,0.571428571
0.571428571,Fipro2,79.891,0.571428571
1,Fipro1,2.468,1
1,Fipro2,3.927,1
2,Fipro1,2.464,2
2,Fipro2,3.498,2
4,Fipro1,2.939,4
4,Fipro2,19.451,4
7,Fipro1,1.77,7
7,Fipro2,2.147,7
14,Fipro1,0.519,14
14,Fipro2,0.952,14
20,Fipro1,1.56163,20
20,Fipro2,3.62066,20
0,Joint1,1.625,0
0,Joint2,2.444,0
0.142857143,Joint1,1.282,0.142857143
0.142857143,Joint2,1.689,0.142857143
0.285714286,Joint1,2.39,0.285714286
0.285714286,Joint2,15.187,0.285714286
0.571428571,Joint1,2.939,0.571428571
0.571428571,Joint2,1.925,0.571428571
1,Joint1,2.859,1
1,Joint2,2.485,1
2,Joint1,1.015,2
2,Joint2,2.054,2
4,Joint1,2.594,4
4,Joint2,9.486,4
7,Joint1,0.388,7
7,Joint2,0.934,7
14,Joint1,0.49,14
14,Joint2,0.227,14
20,Joint1,0.90404,20
20,Joint2,0.92275,20
NA,Fipro1,NA,23
NA,Fipro2,NA,23
NA,Joint1,NA,23
NA,Joint2,NA,23
-1,Fipro1,0.162,24
-1,Fipro2,0.065,24
0.0119,Fipro1,0.464,25.0119
0.0119,Fipro2,0.445,25.0119
0.14286,Fipro1,0.461,25.14286
0.14286,Fipro2,0.667,25.14286
0.28571,Fipro1,0.697,25.28571
0.28571,Fipro2,0.943,25.28571
0.57143,Fipro1,0.821,25.57143
0.57143,Fipro2,1.13,25.57143
2,Fipro1,0.336,27
2,Fipro2,0.184,27
4,Fipro1,3.46,29
4,Fipro2,20.1,29
8,Fipro1,1.62,33
8,Fipro2,0.566,33
14,Fipro1,1.31,39
14,Fipro2,0.715,39
20,Fipro1,1.7,45
20,Fipro2,0.93,45
-1,Joint1,0.0589,24
-1,Joint2,0.0647,24
0.0119,Joint1,0.304,25.0119
0.0119,Joint2,0.414,25.0119
0.14286,Joint1,0.412,25.14286
0.14286,Joint2,0.284,25.14286
0.28571,Joint1,0.245,25.28571
0.28571,Joint2,0.938,25.28571
0.57143,Joint1,0.359,25.57143
0.57143,Joint2,0.419,25.57143
2,Joint1,5.83,27
2,Joint2,0.324,27
4,Joint1,1.01,29
4,Joint2,8.66,29
8,Joint1,0.328,33
8,Joint2,0.488,33
14,Joint1,0.416,39
14,Joint2,0.565,39
20,Joint1,0.309,45
20,Joint2,0.784,45
NA,Fipro1,NA,48
NA,Fipro2,NA,48
NA,Joint1,NA,48
NA,Joint2,NA,48
-1,Fipro1,0.324,49
-1,Fipro2,0.71,49
0.011904762,Fipro1,4.37,50.01190476
0.011904762,Fipro2,32.7,50.01190476
0.142857143,Fipro1,3.43,50.14285714
0.142857143,Fipro2,14.2,50.14285714
0.285714286,Fipro1,5.4,50.28571429
0.285714286,Fipro2,22.5,50.28571429
0.571428571,Fipro1,4.63,50.57142857
0.571428571,Fipro2,43.5,50.57142857
1,Fipro1,25.1,51
1,Fipro2,18.6,51
2,Fipro1,3,52
2,Fipro2,21.5,52
4,Fipro1,4.58,54
4,Fipro2,16.1,54
8,Fipro1,2.54,58
8,Fipro2,4.41,58
14,Fipro1,1.22,64
14,Fipro2,3.12,64
20,Fipro1,2.79,70
20,Fipro2,5.13,70
-1,Joint1,0.117,49
-1,Joint2,0.166,49
0.011904762,Joint1,1.44,50.01190476
0.011904762,Joint2,1.45,50.01190476
0.142857143,Joint1,3.88,50.14285714
0.142857143,Joint2,17.1,50.14285714
0.285714286,Joint1,15.9,50.28571429
0.285714286,Joint2,5.53,50.28571429
0.571428571,Joint1,7.14,50.57142857
0.571428571,Joint2,36.5,50.57142857
1,Joint1,3.57,51
1,Joint2,11.9,51
2,Joint1,20.1,52
2,Joint2,17.1,52
4,Joint1,2.11,54
4,Joint2,6.58,54
8,Joint1,3.41,58
8,Joint2,3.11,58
14,Joint1,4.88,64
14,Joint2,1.27,64
20,Joint1,1.83,70
20,Joint2,1.58,70
