Week,Tank,Conc,Week2
0,Fipro1,0.39128,0
0,Fipro2,0.41721,0
0.142857143,Fipro1,0.25121,0.142857143
0.142857143,Fipro2,0.27032,0.142857143
0.285714286,Fipro1,0.13965,0.285714286
0.285714286,Fipro2,0.16933,0.285714286
0.571428571,Fipro1,0.04812,0.571428571
0.571428571,Fipro2,0.06054,0.571428571
1,Fipro1,0.05683,1
1,Fipro2,0.06306,1
2,Fipro1,0.01913,2
2,Fipro2,0.02902,2
4,Fipro1,0.00459,4
4,Fipro2,0.01729,4
7,Fipro1,0.0039,7
7,Fipro2,0.01466,7
14,Fipro1,0,14
14,Fipro2,0.00408,14
20,Fipro1,0,20
20,Fipro2,0,20
0,Joint1,0.37321,0
0,Joint2,0.00102,0
0.142857143,Joint1,0.30749,0.142857143
0.142857143,Joint2,0.26856,0.142857143
0.285714286,Joint1,0.13058,0.285714286
0.285714286,Joint2,0.10876,0.285714286
0.571428571,Joint1,0.06877,0.571428571
0.571428571,Joint2,0.06182,0.571428571
1,Joint1,0.04112,1
1,Joint2,0.05491,1
2,Joint1,0.01715,2
2,Joint2,0.02001,2
4,Joint1,0.00303,4
4,Joint2,0.00494,4
7,Joint1,0.00301,7
7,Joint2,0.0041,7
14,Joint1,0,14
14,Joint2,0,14
20,Joint1,0,20
20,Joint2,0,20
NA,Fipro1,NA,23
NA,Fipro2,NA,23
NA,Joint1,NA,23
NA,Joint2,NA,23
0.0119,Fipro1,0.549,25.0119
0.0119,Fipro2,0.948,25.0119
0.14286,Fipro1,0.464,25.14286
0.14286,Fipro2,0.614,25.14286
0.28571,Fipro1,0.254,25.28571
0.28571,Fipro2,0.32,25.28571
0.57143,Fipro1,0.171,25.57143
0.57143,Fipro2,0.179,25.57143
2,Fipro1,0.0188,27
2,Fipro2,0.0215,27
4,Fipro1,0.0062,29
4,Fipro2,0.0136,29
8,Fipro1,0.00186,33
8,Fipro2,0.00125,33
14,Fipro1,0,39
14,Fipro2,0,39
20,Fipro1,0,45
20,Fipro2,0,45
0.0119,Joint1,0.195,25.0119
0.0119,Joint2,0.318,25.0119
0.14286,Joint1,0.185,25.14286
0.14286,Joint2,0.177,25.14286
0.28571,Joint1,0.113,25.28571
0.28571,Joint2,0.104,25.28571
0.57143,Joint1,0.0272,25.57143
0.57143,Joint2,0.0731,25.57143
2,Joint1,0.00729,27
2,Joint2,0.0395,27
4,Joint1,0.0034,29
4,Joint2,0.00272,29
8,Joint1,0,33
8,Joint2,0.00126,33
14,Joint1,0,39
14,Joint2,0,39
20,Joint1,0,45
20,Joint2,0,45
NA,Fipro1,NA,48
NA,Fipro2,NA,48
NA,Joint1,NA,48
NA,Joint2,NA,48
0.011904762,Fipro1,0.821,50.01190476
0.011904762,Fipro2,0.625,50.01190476
0.142857143,Fipro1,1.83,50.14285714
0.142857143,Fipro2,0.878,50.14285714
0.285714286,Fipro1,0.313,50.28571429
0.285714286,Fipro2,0.215,50.28571429
0.571428571,Fipro1,0.0754,50.57142857
0.571428571,Fipro2,0.0834,50.57142857
1,Fipro1,0.0276,51
1,Fipro2,0.0613,51
2,Fipro1,0.0252,52
2,Fipro2,0.0505,52
4,Fipro1,0.0171,54
4,Fipro2,0.0579,54
8,Fipro1,0.00593,58
8,Fipro2,0.00853,58
14,Fipro1,0,64
14,Fipro2,0.00165,64
20,Fipro1,0.00155,70
20,Fipro2,0.0029,70
0.011904762,Joint1,0.897,50.01190476
0.011904762,Joint2,0.285,50.01190476
0.142857143,Joint1,0.859,50.14285714
0.142857143,Joint2,0.253,50.14285714
0.285714286,Joint1,0.522,50.28571429
0.285714286,Joint2,0.149,50.28571429
0.571428571,Joint1,0.0821,50.57142857
0.571428571,Joint2,0.0781,50.57142857
1,Joint1,0.0312,51
1,Joint2,0.0361,51
2,Joint1,0.0285,52
2,Joint2,0.0734,52
4,Joint1,0.0241,54
4,Joint2,0.0146,54
8,Joint1,0.00833,58
8,Joint2,0.00519,58
14,Joint1,0,64
14,Joint2,0,64
20,Joint1,0.00119,70
20,Joint2,0.00158,70
