"","Species","Tank","SubPlot","Treatment","Herbicide","Insecticide","Year","Week","Cover"
"961","Azola_sp","Cont1","6.1","Cont","0","0",2017,-1,0
"962","Azola_sp","Cont1","6.2","Cont","0","0",2017,-1,0
"963","Azola_sp","Cont1","6.3","Cont","0","0",2017,-1,0
"964","Azola_sp","Cont1","6.1","Cont","0","0",2017,1,0
"965","Azola_sp","Cont1","6.2","Cont","0","0",2017,1,0
"966","Azola_sp","Cont1","6.3","Cont","0","0",2017,1,0
"967","Azola_sp","Cont1","6.1","Cont","0","0",2017,2,0
"968","Azola_sp","Cont1","6.2","Cont","0","0",2017,2,0
"969","Azola_sp","Cont1","6.3","Cont","0","0",2017,2,0
"970","Azola_sp","Cont1","6.1","Cont","0","0",2017,4,0
"971","Azola_sp","Cont1","6.2","Cont","0","0",2017,4,0
"972","Azola_sp","Cont1","6.3","Cont","0","0",2017,4,0
"973","Azola_sp","Cont1","6.1","Cont","0","0",2017,6,0
"974","Azola_sp","Cont1","6.2","Cont","0","0",2017,6,0
"975","Azola_sp","Cont1","6.3","Cont","0","0",2017,6,0
"976","Azola_sp","Cont1","6.1","Cont","0","0",2017,8,0
"977","Azola_sp","Cont1","6.2","Cont","0","0",2017,8,0
"978","Azola_sp","Cont1","6.3","Cont","0","0",2017,8,0
"979","Azola_sp","Cont1","6.1","Cont","0","0",2017,10,0
"980","Azola_sp","Cont1","6.2","Cont","0","0",2017,10,0
"981","Azola_sp","Cont1","6.3","Cont","0","0",2017,10,8.333333333
"982","Azola_sp","Cont1","6.1","Cont","0","0",2017,12,0
"983","Azola_sp","Cont1","6.2","Cont","0","0",2017,12,0
"984","Azola_sp","Cont1","6.3","Cont","0","0",2017,12,25
"985","Azola_sp","Cont1","6.1","Cont","0","0",2017,14,0
"986","Azola_sp","Cont1","6.2","Cont","0","0",2017,14,0
"987","Azola_sp","Cont1","6.3","Cont","0","0",2017,14,5.555555556
"988","Azola_sp","Cont1","6.1","Cont","0","0",2017,16,0
"989","Azola_sp","Cont1","6.2","Cont","0","0",2017,16,0
"990","Azola_sp","Cont1","6.3","Cont","0","0",2017,16,16.66666667
"991","Azola_sp","Cont1","6.1","Cont","0","0",2017,18,0
"992","Azola_sp","Cont1","6.2","Cont","0","0",2017,18,0
"993","Azola_sp","Cont1","6.3","Cont","0","0",2017,18,33.33333333
"994","Azola_sp","Cont1","6.1","Cont","0","0",2017,20,0
"995","Azola_sp","Cont1","6.2","Cont","0","0",2017,20,0
"996","Azola_sp","Cont1","6.3","Cont","0","0",2017,20,83.33333333
"997","Azola_sp","Cont2","4.1","Cont","0","0",2017,-1,0
"998","Azola_sp","Cont2","4.2","Cont","0","0",2017,-1,0
"999","Azola_sp","Cont2","4.3","Cont","0","0",2017,-1,0
