Week,Tank,Conc,Week2
0,Pent1,25.041,0
0,Pent2,49.827,0
0.142857143,Pent1,346.38,0.142857143
0.142857143,Pent2,65.978,0.142857143
0.285714286,Pent1,68.909,0.285714286
0.285714286,Pent2,67.165,0.285714286
0.571428571,Pent1,58.638,0.571428571
0.571428571,Pent2,28.888,0.571428571
1,Pent1,46.522,1
1,Pent2,50.485,1
2,Pent1,53.488,2
2,Pent2,29.054,2
4,Pent1,302.244,4
4,Pent2,234.515,4
7,Pent1,51.259,7
7,Pent2,11.024,7
14,Pent1,18.895,14
14,Pent2,19.638,14
20,Pent1,19.33364,20
20,Pent2,8.70519,20
0,Joint1,73.341,0
0,Joint2,150.75,0
0.142857143,Joint1,87.824,0.142857143
0.142857143,Joint2,55.346,0.142857143
0.285714286,Joint1,175.289,0.285714286
0.285714286,Joint2,53.847,0.285714286
0.571428571,Joint1,69.697,0.571428571
0.571428571,Joint2,47.126,0.571428571
1,Joint1,51.436,1
1,Joint2,32.06,1
2,Joint1,11.986,2
2,Joint2,28.707,2
4,Joint1,193.689,4
4,Joint2,175.732,4
7,Joint1,18.086,7
7,Joint2,47.123,7
14,Joint1,31.391,14
14,Joint2,48.327,14
20,Joint1,48.98631,20
20,Joint2,43.82217,20
NA,Pent1,NA,23
NA,Pent2,NA,23
NA,Joint1,NA,23
NA,Joint2,NA,23
-1,Pent1,7.62,24
-1,Pent2,3.5,24
0.0119,Pent1,12.2,25.0119
0.0119,Pent2,29.7,25.0119
0.14286,Pent1,38.3,25.14286
0.14286,Pent2,100,25.14286
0.28571,Pent1,20.1,25.28571
0.28571,Pent2,181,25.28571
0.57143,Pent1,17.2,25.57143
0.57143,Pent2,44.8,25.57143
2,Pent1,16,27
2,Pent2,46.9,27
4,Pent1,115,29
4,Pent2,920,29
8,Pent1,168,33
8,Pent2,100,33
14,Pent1,27.8,39
14,Pent2,176,39
20,Pent1,93,45
20,Pent2,86.8,45
-1,Joint1,12.8,24
-1,Joint2,6.91,24
0.0119,Joint1,107,25.0119
0.0119,Joint2,47.4,25.0119
0.14286,Joint1,169,25.14286
0.14286,Joint2,65.2,25.14286
0.28571,Joint1,48.3,25.28571
0.28571,Joint2,162,25.28571
0.57143,Joint1,109,25.57143
0.57143,Joint2,27.6,25.57143
2,Joint1,191,27
2,Joint2,106,27
4,Joint1,219,29
4,Joint2,152,29
8,Joint1,58.1,33
8,Joint2,156,33
14,Joint1,28.7,39
14,Joint2,128,39
20,Joint1,17.6,45
20,Joint2,88.5,45
NA,Pent1,NA,48
NA,Pent2,NA,48
NA,Joint1,NA,48
NA,Joint2,NA,48
-1,Pent1,2.4,49
-1,Pent2,2.54,49
0.011904762,Pent1,29.8,50.01190476
0.011904762,Pent2,32.1,50.01190476
0.142857143,Pent1,43.4,50.14285714
0.142857143,Pent2,66.9,50.14285714
0.285714286,Pent1,59.3,50.28571429
0.285714286,Pent2,49.3,50.28571429
0.571428571,Pent1,20.4,50.57142857
0.571428571,Pent2,41.1,50.57142857
1,Pent1,158,51
1,Pent2,177,51
2,Pent1,71.2,52
2,Pent2,142,52
4,Pent1,77.8,54
4,Pent2,88.1,54
8,Pent1,56.7,58
8,Pent2,34,58
14,Pent1,11.8,64
14,Pent2,20.9,64
20,Pent1,5.12,70
20,Pent2,41.5,70
-1,Joint1,4.19,49
-1,Joint2,3.55,49
0.011904762,Joint1,37,50.01190476
0.011904762,Joint2,44.2,50.01190476
0.142857143,Joint1,22.1,50.14285714
0.142857143,Joint2,27.9,50.14285714
0.285714286,Joint1,246,50.28571429
0.285714286,Joint2,116,50.28571429
0.571428571,Joint1,71,50.57142857
0.571428571,Joint2,289,50.57142857
1,Joint1,329,51
1,Joint2,60.9,51
2,Joint1,76.5,52
2,Joint2,87.5,52
4,Joint1,48.3,54
4,Joint2,51,54
8,Joint1,153,58
8,Joint2,47.1,58
14,Joint1,36.8,64
14,Joint2,17.1,64
20,Joint1,91.4,70
20,Joint2,32,70
