Week,Tank,Conc,Week2
0,Pent1,43.762,0
0,Pent2,27.069,0
0.142857143,Pent1,8.753,0.142857143
0.142857143,Pent2,7.52,0.142857143
0.285714286,Pent1,1.866,0.285714286
0.285714286,Pent2,1.229,0.285714286
0.571428571,Pent1,1.348,0.571428571
0.571428571,Pent2,0.463,0.571428571
1,Pent1,1.585,1
1,Pent2,0.863,1
2,Pent1,0.312,2
2,Pent2,0.118,2
4,Pent1,0.148,4
4,Pent2,0,4
7,Pent1,0,7
7,Pent2,0.122,7
14,Pent1,0,14
14,Pent2,0,14
20,Pent1,0,20
20,Pent2,0,20
0,Joint1,27.993,0
0,Joint2,7.42,0
0.142857143,Joint1,6.88,0.142857143
0.142857143,Joint2,8.493,0.142857143
0.285714286,Joint1,2.082,0.285714286
0.285714286,Joint2,2.079,0.285714286
0.571428571,Joint1,0.826,0.571428571
0.571428571,Joint2,1.286,0.571428571
1,Joint1,0.716,1
1,Joint2,1.075,1
2,Joint1,0.115,2
2,Joint2,0.102,2
4,Joint1,0,4
4,Joint2,0,4
7,Joint1,0,7
7,Joint2,0,7
14,Joint1,0,14
14,Joint2,0,14
20,Joint1,0,20
20,Joint2,0,20
NA,Pent1,NA,23
NA,Pent2,NA,23
NA,Joint1,NA,23
NA,Joint2,NA,23
0.0119,Pent1,81.2,25.0119
0.0119,Pent2,174,25.0119
0.14286,Pent1,14.5,25.14286
0.14286,Pent2,9.75,25.14286
0.28571,Pent1,3.8,25.28571
0.28571,Pent2,4.91,25.28571
0.57143,Pent1,1.69,25.57143
0.57143,Pent2,2.67,25.57143
2,Pent1,0.503,27
2,Pent2,0.584,27
4,Pent1,0.218,29
4,Pent2,0,29
8,Pent1,0,33
8,Pent2,0,33
14,Pent1,0,39
14,Pent2,0,39
20,Pent1,0,45
20,Pent2,0,45
0.0119,Joint1,155,25.0119
0.0119,Joint2,264,25.0119
0.14286,Joint1,21.3,25.14286
0.14286,Joint2,14.4,25.14286
0.28571,Joint1,9.28,25.28571
0.28571,Joint2,3.25,25.28571
0.57143,Joint1,3.72,25.57143
0.57143,Joint2,1.57,25.57143
2,Joint1,0.588,27
2,Joint2,0.575,27
4,Joint1,0.119,29
4,Joint2,0.107,29
8,Joint1,0.133,33
8,Joint2,0.104,33
14,Joint1,0,39
14,Joint2,0,39
20,Joint1,0,45
20,Joint2,0,45
NA,Pent1,NA,48
NA,Pent2,NA,48
NA,Joint1,NA,48
NA,Joint2,NA,48
0.011904762,Pent1,139,50.01190476
0.011904762,Pent2,178,50.01190476
0.142857143,Pent1,15.5,50.14285714
0.142857143,Pent2,9.73,50.14285714
0.285714286,Pent1,1.94,50.28571429
0.285714286,Pent2,1.43,50.28571429
0.571428571,Pent1,1.86,50.57142857
0.571428571,Pent2,1.1,50.57142857
1,Pent1,0.385,51
1,Pent2,0.505,51
2,Pent1,0.297,52
2,Pent2,0.207,52
4,Pent1,0.167,54
4,Pent2,0.15,54
8,Pent1,0,58
8,Pent2,0,58
14,Pent1,0,64
14,Pent2,0.109,64
20,Pent1,0,70
20,Pent2,0,70
0.011904762,Joint1,157,50.01190476
0.011904762,Joint2,136,50.01190476
0.142857143,Joint1,18.6,50.14285714
0.142857143,Joint2,4.07,50.14285714
0.285714286,Joint1,2.47,50.28571429
0.285714286,Joint2,0.593,50.28571429
0.571428571,Joint1,1.42,50.57142857
0.571428571,Joint2,0.505,50.57142857
1,Joint1,0.119,51
1,Joint2,0.168,51
2,Joint1,0.118,52
2,Joint2,0,52
4,Joint1,0.122,54
4,Joint2,0,54
8,Joint1,0,58
8,Joint2,0,58
14,Joint1,0,64
14,Joint2,0.147,64
20,Joint1,0,70
20,Joint2,0,70
