"Species_each_file","Species","Group_J","Group","Insecticide","Herbicide","Treatment","Tank","Year","Week","Abundance"
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,-1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,2,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,4,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,6,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,8,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,10,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,12,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,14,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,16,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,18,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont1",2017,20,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,-1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,2,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,4,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,6,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,8,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,10,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,12,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,14,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,16,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,18,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","0","0","Cont","Cont2",2017,20,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,-1,43
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,2,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,4,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,6,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,8,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,10,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,12,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,14,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,16,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,18,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro1",2017,20,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,-1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,1,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,2,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,4,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,6,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,8,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,10,0
"Didimium_sp.","Didinium_sp.","繊毛虫","Ciliate","1","0","Fipro","Fipro2",2017,12,0
